arm,arm_label,seed,learning_rule,update,train_reward,welfare,join_rate,success_rate,message_norm,hidden_norm,live_monitor_content_accuracy,live_monitor_content_balanced_accuracy,live_monitor_true_probability
no_comm,No Messages,0,ppo,1.0,-0.04894367977976799,-0.04894368723034859,0.4098958671092987,0.30517578125,0.0,0.0,,,
no_comm,No Messages,0,ppo,12.0,0.3574853539466858,0.3574853837490082,0.6749023795127869,0.5123698115348816,0.0,0.0,,,
no_comm,No Messages,0,ppo,24.0,0.3734700679779053,0.3734700679779053,0.7357096672058105,0.5358073115348816,0.0,0.0,,,
no_comm,No Messages,0,ppo,36.0,0.38075193762779236,0.38075193762779236,0.7732747793197632,0.55224609375,0.0,0.0,,,
no_comm,No Messages,0,ppo,48.0,0.3926009237766266,0.3926008939743042,0.7632812857627869,0.5558268427848816,0.0,0.0,,,
no_comm,No Messages,0,ppo,60.0,0.38823243975639343,0.38823243975639343,0.7587239742279053,0.5489909052848816,0.0,0.0,,,
no_comm,No Messages,0,ppo,72.0,0.3982405960559845,0.3982405960559845,0.7713867425918579,0.5598958134651184,0.0,0.0,,,
no_comm,No Messages,0,ppo,84.0,0.3837776780128479,0.3837777078151703,0.7668945789337158,0.5499674677848816,0.0,0.0,,,
no_comm,No Messages,0,ppo,96.0,0.40352705121040344,0.40352702140808105,0.7809896469116211,0.5670573115348816,0.0,0.0,,,
no_comm,No Messages,0,ppo,108.0,0.40297365188598633,0.40297365188598633,0.7746745347976685,0.5638020634651184,0.0,0.0,,,
no_comm,No Messages,0,ppo,120.0,0.38877931237220764,0.38877931237220764,0.7873373031616211,0.5603840947151184,0.0,0.0,,,
no_comm,No Messages,1,ppo,1.0,-0.022970376536250114,-0.022970380261540413,0.4554036557674408,0.337890625,0.0,0.0,,,
no_comm,No Messages,1,ppo,12.0,0.3481054902076721,0.3481054902076721,0.723339855670929,0.5222981572151184,0.0,0.0,,,
no_comm,No Messages,1,ppo,24.0,0.3847493827342987,0.3847493827342987,0.7791992425918579,0.55810546875,0.0,0.0,,,
no_comm,No Messages,1,ppo,36.0,0.38057127594947815,0.3805713355541229,0.7608724236488342,0.5480143427848816,0.0,0.0,,,
no_comm,No Messages,1,ppo,48.0,0.39094406366348267,0.39094406366348267,0.7612630724906921,0.5538737177848816,0.0,0.0,,,
no_comm,No Messages,1,ppo,60.0,0.4004330039024353,0.4004329442977905,0.7756185531616211,0.5636393427848816,0.0,0.0,,,
