arm,arm_label,seed,train_samples,auditor_content_balanced_accuracy,n_test,chance_accuracy
no_comm,No Messages,0,25,0.3333333333333333,12000,0.3333333333333333
no_comm,No Messages,0,50,0.3333333333333333,12000,0.3333333333333333
no_comm,No Messages,0,100,0.3333333333333333,12000,0.3333333333333333
no_comm,No Messages,0,250,0.3333333333333333,12000,0.3333333333333333
no_comm,No Messages,0,500,0.3333333333333333,12000,0.3333333333333333
no_comm,No Messages,0,1000,0.3333333333333333,12000,0.3333333333333333
no_comm,No Messages,0,2000,0.3333333333333333,12000,0.3333333333333333
no_comm,No Messages,0,5000,0.3333333333333333,12000,0.3333333333333333
no_comm,No Messages,1,25,0.3333333333333333,12000,0.3333333333333333
no_comm,No Messages,1,50,0.3333333333333333,12000,0.3333333333333333
no_comm,No Messages,1,100,0.3333333333333333,12000,0.3333333333333333
no_comm,No Messages,1,250,0.3333333333333333,12000,0.3333333333333333
no_comm,No Messages,1,500,0.3333333333333333,12000,0.3333333333333333
no_comm,No Messages,1,1000,0.3333333333333333,12000,0.3333333333333333
no_comm,No Messages,1,2000,0.3333333333333333,12000,0.3333333333333333
no_comm,No Messages,1,5000,0.3333333333333333,12000,0.3333333333333333
no_comm,No Messages,2,25,0.3333333333333333,12000,0.3333333333333333
no_comm,No Messages,2,50,0.3333333333333333,12000,0.3333333333333333
no_comm,No Messages,2,100,0.3333333333333333,12000,0.3333333333333333
no_comm,No Messages,2,250,0.3333333333333333,12000,0.3333333333333333
no_comm,No Messages,2,500,0.3333333333333333,12000,0.3333333333333333
no_comm,No Messages,2,1000,0.3333333333333333,12000,0.3333333333333333
no_comm,No Messages,2,2000,0.3333333333333333,12000,0.3333333333333333
no_comm,No Messages,2,5000,0.3333333333333333,12000,0.3333333333333333
no_comm,No Messages,3,25,0.3333333333333333,12000,0.3333333333333333
no_comm,No Messages,3,50,0.3333333333333333,12000,0.3333333333333333
no_comm,No Messages,3,100,0.3333333333333333,12000,0.3333333333333333
no_comm,No Messages,3,250,0.3333333333333333,12000,0.3333333333333333
no_comm,No Messages,3,500,0.3333333333333333,12000,0.3333333333333333
no_comm,No Messages,3,1000,0.3333333333333333,12000,0.3333333333333333
no_comm,No Messages,3,2000,0.3333333333333333,12000,0.3333333333333333
no_comm,No Messages,3,5000,0.3333333333333333,12000,0.3333333333333333
visible_bottleneck,Public Only,0,25,0.6771101691436963,12000,0.3333333333333333
visible_bottleneck,Public Only,0,50,0.800757252520524,12000,0.3333333333333333
visible_bottleneck,Public Only,0,100,0.819016091288311,12000,0.3333333333333333
visible_bottleneck,Public Only,0,250,0.8754059957792507,12000,0.3333333333333333
visible_bottleneck,Public Only,0,500,0.8951302938789265,12000,0.3333333333333333
visible_bottleneck,Public Only,0,1000,0.9026067783573882,12000,0.3333333333333333
visible_bottleneck,Public Only,0,2000,0.9119072114529656,12000,0.3333333333333333
visible_bottleneck,Public Only,0,5000,0.919609560295623,12000,0.3333333333333333
visible_bottleneck,Public Only,1,25,0.752351985516107,12000,0.3333333333333333
visible_bottleneck,Public Only,1,50,0.834124208965494,12000,0.3333333333333333
visible_bottleneck,Public Only,1,100,0.8653411061372175,12000,0.3333333333333333
visible_bottleneck,Public Only,1,250,0.8832350600240094,12000,0.3333333333333333
visible_bottleneck,Public Only,1,500,0.8954910467268228,12000,0.3333333333333333
visible_bottleneck,Public Only,1,1000,0.9072172072293524,12000,0.3333333333333333
visible_bottleneck,Public Only,1,2000,0.9158929136004459,12000,0.3333333333333333
visible_bottleneck,Public Only,1,5000,0.9286760162877261,12000,0.3333333333333333
visible_bottleneck,Public Only,2,25,0.6505505026328388,12000,0.3333333333333333
visible_bottleneck,Public Only,2,50,0.7058607150604564,12000,0.3333333333333333
visible_bottleneck,Public Only,2,100,0.798396901457576,12000,0.3333333333333333
visible_bottleneck,Public Only,2,250,0.841676916383786,12000,0.3333333333333333
visible_bottleneck,Public Only,2,500,0.8780107835645673,12000,0.3333333333333333
visible_bottleneck,Public Only,2,1000,0.9126152837370777,12000,0.3333333333333333
visible_bottleneck,Public Only,2,2000,0.930567708491247,12000,0.3333333333333333
visible_bottleneck,Public Only,2,5000,0.9553676610842929,12000,0.3333333333333333
visible_bottleneck,Public Only,3,25,0.7624773437284835,12000,0.3333333333333333
visible_bottleneck,Public Only,3,50,0.791733825996361,12000,0.3333333333333333
visible_bottleneck,Public Only,3,100,0.815341282536639,12000,0.3333333333333333
