arm,arm_label,seed,shift,shift_label,sigma,theta_low,theta_high,welfare,shuffled_welfare,message_value,join_rate,success_rate,visible_norm,hidden_norm,hidden_norm_share,hidden_causal_influence,hidden_shuffle_causal_influence,hidden_action_flip_rate,hidden_probe_gain,causal_strategic_opacity_gap,probe_strategic_opacity_gap,live_monitor_content_accuracy,live_monitor_content_balanced_accuracy,live_monitor_true_probability,full_content_balanced_accuracy,auditor_content_balanced_accuracy,visible_content_balanced_accuracy,hidden_content_balanced_accuracy
no_comm,No Messages,0,train_distribution,Training world,0.35,-0.2,1.8,0.38563600182533264,0.38563600182533264,0.0,0.7814399600028992,0.5559999942779541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
no_comm,No Messages,0,cleaner_signals,Cleaner signals,0.21,-0.2,1.8,0.4564259946346283,0.4564259946346283,0.0,0.7964400053024292,0.5982000231742859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
no_comm,No Messages,0,noisier_signals,Noisier signals,0.5599999999999999,-0.2,1.8,0.3159880042076111,0.3159880042076111,0.0,0.7516399621963501,0.5181999802589417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
no_comm,No Messages,0,knife_edge_regimes,Knife-edge regimes,0.35,0.25,1.25,0.5029000043869019,0.5029000043869019,0.0,0.9219599962234497,0.6869999766349792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
no_comm,No Messages,0,harder_regimes,Harder regimes,0.35,0.04999999999999999,1.95,0.2848539650440216,0.2848539650440216,0.0,0.703719973564148,0.4650000035762787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
no_comm,No Messages,1,train_distribution,Training world,0.35,-0.2,1.8,0.37977197766304016,0.37977197766304016,0.0,0.7521199584007263,0.5406000018119812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
no_comm,No Messages,1,cleaner_signals,Cleaner signals,0.21,-0.2,1.8,0.4462219774723053,0.4462219774723053,0.0,0.7690399885177612,0.5795999765396118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
no_comm,No Messages,1,noisier_signals,Noisier signals,0.5599999999999999,-0.2,1.8,0.3216039836406708,0.3216039836406708,0.0,0.7421999573707581,0.5206000208854675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
no_comm,No Messages,1,knife_edge_regimes,Knife-edge regimes,0.35,0.25,1.25,0.4669420123100281,0.4669420123100281,0.0,0.8968799710273743,0.6589999794960022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
no_comm,No Messages,1,harder_regimes,Harder regimes,0.35,0.04999999999999999,1.95,0.27678799629211426,0.27678799629211426,0.0,0.6739599704742432,0.448199987411499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
no_comm,No Messages,2,train_distribution,Training world,0.35,-0.2,1.8,0.39578601717948914,0.39578601717948914,0.0,0.757319986820221,0.550599992275238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
no_comm,No Messages,2,cleaner_signals,Cleaner signals,0.21,-0.2,1.8,0.4449419677257538,0.4449419677257538,0.0,0.7576000094413757,0.574999988079071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
no_comm,No Messages,2,noisier_signals,Noisier signals,0.5599999999999999,-0.2,1.8,0.3137679994106293,0.3137679994106293,0.0,0.730679988861084,0.5108000040054321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
no_comm,No Messages,2,knife_edge_regimes,Knife-edge regimes,0.35,0.25,1.25,0.4508519768714905,0.4508519768714905,0.0,0.8889600038528442,0.6466000080108643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
no_comm,No Messages,2,harder_regimes,Harder regimes,0.35,0.04999999999999999,1.95,0.2860419750213623,0.2860419750213623,0.0,0.6725199818611145,0.45419999957084656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
no_comm,No Messages,3,train_distribution,Training world,0.35,-0.2,1.8,0.4090239703655243,0.4090239703655243,0.0,0.7770000100135803,0.5669999718666077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
no_comm,No Messages,3,cleaner_signals,Cleaner signals,0.21,-0.2,1.8,0.45176801085472107,0.45176801085472107,0.0,0.7905600070953369,0.5932000279426575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
no_comm,No Messages,3,noisier_signals,Noisier signals,0.5599999999999999,-0.2,1.8,0.32540398836135864,0.32540398836135864,0.0,0.7487199902534485,0.5238000154495239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
no_comm,No Messages,3,knife_edge_regimes,Knife-edge regimes,0.35,0.25,1.25,0.4859679639339447,0.4859679639339447,0.0,0.9108799695968628,0.6747999787330627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
no_comm,No Messages,3,harder_regimes,Harder regimes,0.35,0.04999999999999999,1.95,0.29334399104118347,0.29334399104118347,0.0,0.6973999738693237,0.46700000762939453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
visible_bottleneck,Public Only,0,train_distribution,Training world,0.35,-0.2,1.8,0.5408279299736023,0.2814119756221771,0.25941595435142517,0.6295199990272522,0.5789999961853027,2.909034013748169,0.3205221891403198,0.09924651221540823,5.3787521103743074e-09,1.798569293498531e-08,0.0,0.06184607643478335,1.3953341119324931e-09,0.01604385894122051,,,,0.9776017627905134,0.91575568635573,0.9225278801818498,0.85497797377996
visible_bottleneck,Public Only,0,cleaner_signals,Cleaner signals,0.21,-0.2,1.8,0.5414760112762451,0.2560259997844696,0.2854500114917755,0.6060400009155273,0.5691999793052673,2.876382827758789,0.31365424394607544,0.09832307176870766,2.644568120047097e-09,1.3337637660981727e-08,0.0,0.05239411864474364,7.548920002582271e-10,0.01495590176924352,,,,0.9741988946638532,0.9218047760191096,0.9166016351273539,0.8591204993024011
visible_bottleneck,Public Only,0,noisier_signals,Noisier signals,0.5599999999999999,-0.2,1.8,0.4856099784374237,0.238427996635437,0.2471819818019867,0.6162799596786499,0.5425999760627747,2.964559316635132,0.3293805420398712,0.09999591861776295,9.007152357298764e-09,2.2530597831860177e-08,0.0,0.05188868183564177,2.2264057700695447e-09,0.012825947209226682,,,,0.9777591256068892,0.9258704437712474,0.9254673819898144,0.8424295142208066
visible_bottleneck,Public Only,0,knife_edge_regimes,Knife-edge regimes,0.35,0.25,1.25,0.6235299706459045,0.4605560004711151,0.16297397017478943,0.78711998462677,0.6941999793052673,2.6311190128326416,0.2966613471508026,0.10132636696575154,9.34884436532002e-09,3.152555549945646e-08,0.0,0.07240236193929983,1.523618282762413e-09,0.01179970037527976,,,,0.9766295417427872,0.9042271798034873,0.9060797412967254,0.8797140725311885
visible_bottleneck,Public Only,0,harder_regimes,Harder regimes,0.35,0.04999999999999999,1.95,0.429749995470047,0.115509994328022,0.314240001142025,0.520359992980957,0.4690000116825104,2.886378049850464,0.3260471820831299,0.10149564847206687,4.668922137796017e-09,1.4043235907479357e-08,0.0,0.049956880658287184,1.467162097913046e-09,0.015698450235112172,,,,0.9750824821100399,0.9251256014517527,0.9245861760287699,0.8568710678776927
visible_bottleneck,Public Only,1,train_distribution,Training world,0.35,-0.2,1.8,0.5491039752960205,0.3006480038166046,0.2484559714794159,0.6403200030326843,0.5881999731063843,2.967501401901245,0.31331631541252136,0.09549945849142,7.1227490572312036e-09,1.9737798950814067e-08,0.0,0.01615569548999285,1.7696895366184724e-09,0.004013979017891791,,,,0.9531903372420273,0.9370346417520344,0.9368945465054658,0.9415465601128995
visible_bottleneck,Public Only,1,cleaner_signals,Cleaner signals,0.21,-0.2,1.8,0.5615260004997253,0.28916800022125244,0.2723580002784729,0.6193199753761292,0.5861999988555908,2.9243369102478027,0.3010592758655548,0.09334024674603927,5.251222123803245e-09,1.4072076837123859e-08,0.0,0.007090161200230094,1.4302123566571273e-09,0.0019310621261466856,,,,0.9619837800631655,0.9548936188629354,0.9582337529451049,0.9506444324950142
visible_bottleneck,Public Only,1,noisier_signals,Noisier signals,0.5599999999999999,-0.2,1.8,0.4929560124874115,0.2565839886665344,0.23637202382087708,0.6281999945640564,0.5523999929428101,3.0254905223846436,0.3348105847835541,0.099637078376499,1.1064132721116948e-08,2.3679525895659026e-08,0.0,0.0449591654824939,2.6152514431132008e-09,0.010627088934394803,,,,0.9416985127487774,0.8967393472662835,0.8935789203856657,0.9323067786787412
visible_bottleneck,Public Only,1,knife_edge_regimes,Knife-edge regimes,0.35,0.25,1.25,0.6281200051307678,0.4751720130443573,0.15294799208641052,0.7946400046348572,0.699400007724762,2.640794515609741,0.25158244371414185,0.08698120862259645,1.265999038935206e-08,3.789357450045827e-08,0.0,0.005199295754732769,1.9363201098846522e-09,0.0007952218459497753,,,,0.9643534057738261,0.9591541100190933,0.9596462560519007,0.9605897961804911
