arm,arm_label,sender_seed,receiver_seed,self_play,welfare,shuffled_welfare,message_value,join_rate,success_rate,visible_norm,hidden_norm,hidden_norm_share,hidden_causal_influence,hidden_shuffle_causal_influence,hidden_action_flip_rate,hidden_probe_gain,causal_strategic_opacity_gap,probe_strategic_opacity_gap,live_monitor_content_accuracy,live_monitor_true_probability,full_content_balanced_accuracy,auditor_content_balanced_accuracy,visible_content_balanced_accuracy,hidden_content_balanced_accuracy
no_comm,No Messages,0,0,True,0.3894200026988983,0.3894200026988983,0.0,0.7822399735450745,0.5591999888420105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
no_comm,No Messages,0,1,False,0.4030280113220215,0.4030280113220215,0.0,0.7593599557876587,0.5564000010490417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
no_comm,No Messages,0,2,False,0.37845197319984436,0.37845197319984436,0.0,0.7526400089263916,0.5404000282287598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
no_comm,No Messages,0,3,False,0.4094240069389343,0.4094240069389343,0.0,0.7852799892425537,0.5703999996185303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
no_comm,No Messages,1,0,False,0.3891039788722992,0.3891039788722992,0.0,0.776479959487915,0.5564000010490417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
no_comm,No Messages,1,1,True,0.39437201619148254,0.39437201619148254,0.0,0.7578399777412415,0.553600013256073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
no_comm,No Messages,1,2,False,0.39372000098228455,0.39372000098228455,0.0,0.759119987487793,0.5515999794006348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
no_comm,No Messages,1,3,False,0.40322795510292053,0.40322795510292053,0.0,0.7774399518966675,0.5651999711990356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
no_comm,No Messages,2,0,False,0.4000239670276642,0.4000239670276642,0.0,0.7815200090408325,0.5636000037193298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
no_comm,No Messages,2,1,False,0.3819560110569,0.3819560110569,0.0,0.7512800097465515,0.5411999821662903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
