arm,arm_label,self_play_welfare,cross_play_welfare,crossplay_welfare_gap,self_play_message_value,cross_play_message_value,n_self_pairs,n_cross_pairs
no_comm,No Messages,0.39855099469423294,0.3958369841178258,0.002714010576407133,0.0,0.0,4,12
visible_bottleneck,Public Only,0.5358459800481796,0.12064766138792038,0.41519831866025925,0.265717975795269,-0.09241500000158946,4,12
asymmetric_free,Private Allowed,0.5411700010299683,0.1028433342774709,0.4383266667524974,0.2783630043268204,-0.20330733060836792,4,12
public_monitored,Public Monitored,0.535086989402771,0.13681531697511673,0.39827167242765427,0.2592889964580536,-0.06085434431831042,4,12
private_monitored,Private Monitored,0.5339600145816803,0.10783266400297482,0.4261273505787055,0.26627402752637863,-0.19103899349768957,4,12
monitored_penalty,Monitored + Penalty,0.5326049774885178,0.2080086568991343,0.3245963205893835,0.2743069790303707,-0.06664066202938557,4,12
