arm,arm_label,seed,learning_rule,theta_left,theta_right,theta_mid,join_rate,success_rate,welfare
no_comm,No Messages,0,ppo,-0.2,-0.033333333333333354,-0.11666666666666668,1.0,1.0,1.0
no_comm,No Messages,0,ppo,-0.033333333333333354,0.1333333333333333,0.049999999999999975,1.0,1.0,1.0
no_comm,No Messages,0,ppo,0.1333333333333333,0.3,0.21666666666666665,1.0,1.0,1.0
no_comm,No Messages,0,ppo,0.3,0.4666666666666666,0.3833333333333333,0.9968787431716919,1.0,0.9968787431716919
no_comm,No Messages,0,ppo,0.4666666666666666,0.6333333333333333,0.5499999999999999,0.9913357496261597,1.0,0.9913357496261597
no_comm,No Messages,0,ppo,0.6333333333333333,0.8,0.7166666666666667,0.9723114967346191,0.988875150680542,0.9602843523025513
no_comm,No Messages,0,ppo,0.8,0.9666666666666666,0.8833333333333333,0.917411744594574,0.6494117379188538,0.4490823745727539
no_comm,No Messages,0,ppo,0.9666666666666666,1.1333333333333333,1.0499999999999998,0.8274738192558289,0.10477299243211746,-0.43705472350120544
no_comm,No Messages,0,ppo,1.1333333333333333,1.3,1.2166666666666668,0.6878640651702881,0.0,-0.5074999928474426
no_comm,No Messages,0,ppo,1.3,1.4666666666666666,1.3833333333333333,0.5169117450714111,0.0,-0.3730146884918213
no_comm,No Messages,0,ppo,1.4666666666666666,1.6333333333333333,1.5499999999999998,0.3419512212276459,0.0,-0.24397560954093933
no_comm,No Messages,0,ppo,1.6333333333333333,1.8,1.7166666666666668,0.18815165758132935,0.0,-0.12913507223129272
no_comm,No Messages,1,ppo,-0.2,-0.033333333333333354,-0.11666666666666668,1.0,1.0,1.0
no_comm,No Messages,1,ppo,-0.033333333333333354,0.1333333333333333,0.049999999999999975,1.0,1.0,1.0
no_comm,No Messages,1,ppo,0.1333333333333333,0.3,0.21666666666666665,0.9997587203979492,1.0,0.9997587203979492
no_comm,No Messages,1,ppo,0.3,0.4666666666666666,0.3833333333333333,0.9947431087493896,1.0,0.9947431087493896
no_comm,No Messages,1,ppo,0.4666666666666666,0.6333333333333333,0.5499999999999999,0.9869458079338074,0.9987684488296509,0.9856404066085815
no_comm,No Messages,1,ppo,0.6333333333333333,0.8,0.7166666666666667,0.9543135166168213,0.9756986498832703,0.9295868873596191
no_comm,No Messages,1,ppo,0.8,0.9666666666666666,0.8833333333333333,0.8845039010047913,0.5507246255874634,0.2981939911842346
no_comm,No Messages,1,ppo,0.9666666666666666,1.1333333333333333,1.0499999999999998,0.7952618598937988,0.10349126905202866,-0.40918949246406555
no_comm,No Messages,1,ppo,1.1333333333333333,1.3,1.2166666666666668,0.6287439465522766,0.0,-0.45766907930374146
no_comm,No Messages,1,ppo,1.3,1.4666666666666666,1.3833333333333333,0.4364294409751892,0.0,-0.3148612380027771
no_comm,No Messages,1,ppo,1.4666666666666666,1.6333333333333333,1.5499999999999998,0.26825207471847534,0.0,-0.18205708265304565
no_comm,No Messages,1,ppo,1.6333333333333333,1.8,1.7166666666666668,0.15315315127372742,0.0,-0.10392535477876663
no_comm,No Messages,2,ppo,-0.2,-0.033333333333333354,-0.11666666666666668,1.0,1.0,1.0
no_comm,No Messages,2,ppo,-0.033333333333333354,0.1333333333333333,0.049999999999999975,1.0,1.0,1.0
no_comm,No Messages,2,ppo,0.1333333333333333,0.3,0.21666666666666665,0.9985849261283875,1.0,0.9985849261283875
no_comm,No Messages,2,ppo,0.3,0.4666666666666666,0.3833333333333333,0.9942029118537903,1.0,0.9942029118537903
no_comm,No Messages,2,ppo,0.4666666666666666,0.6333333333333333,0.5499999999999999,0.9842044115066528,1.0,0.9842044115066528
no_comm,No Messages,2,ppo,0.6333333333333333,0.8,0.7166666666666667,0.9572463631629944,0.9806763529777527,0.9365459084510803
no_comm,No Messages,2,ppo,0.8,0.9666666666666666,0.8833333333333333,0.8843601942062378,0.5521327257156372,0.30468010902404785
no_comm,No Messages,2,ppo,0.9666666666666666,1.1333333333333333,1.0499999999999998,0.7740654349327087,0.08060747385025024,-0.4380490779876709
no_comm,No Messages,2,ppo,1.1333333333333333,1.3,1.2166666666666668,0.6304348111152649,0.0,-0.4574168622493744
no_comm,No Messages,2,ppo,1.3,1.4666666666666666,1.3833333333333333,0.43281060457229614,0.0,-0.3099517524242401
no_comm,No Messages,2,ppo,1.4666666666666666,1.6333333333333333,1.5499999999999998,0.2842603623867035,0.0,-0.19499407708644867
no_comm,No Messages,2,ppo,1.6333333333333333,1.8,1.7166666666666668,0.14658065140247345,0.0,-0.09594838321208954
no_comm,No Messages,3,ppo,-0.2,-0.033333333333333354,-0.11666666666666668,1.0,1.0,1.0
no_comm,No Messages,3,ppo,-0.033333333333333354,0.1333333333333333,0.049999999999999975,1.0,1.0,1.0
no_comm,No Messages,3,ppo,0.1333333333333333,0.3,0.21666666666666665,0.9988038539886475,1.0,0.9988038539886475
no_comm,No Messages,3,ppo,0.3,0.4666666666666666,0.3833333333333333,0.997951328754425,1.0,0.997951328754425
no_comm,No Messages,3,ppo,0.4666666666666666,0.6333333333333333,0.5499999999999999,0.9871116280555725,1.0,0.9871116280555725
no_comm,No Messages,3,ppo,0.6333333333333333,0.8,0.7166666666666667,0.961685836315155,0.9808428883552551,0.9413666129112244
no_comm,No Messages,3,ppo,0.8,0.9666666666666666,0.8833333333333333,0.9025454521179199,0.6048485040664673,0.3747151494026184
no_comm,No Messages,3,ppo,0.9666666666666666,1.1333333333333333,1.0499999999999998,0.8147714138031006,0.09144196659326553,-0.44807738065719604
