design,treatment,signal_mode,theta,theta_star,theta_relative,rep,join_fraction,join_fraction_valid,n_join,n_agents,n_valid,n_api_error,n_unparseable,api_error_rate,unparseable_rate,coup_success,theoretical_attack,benefit,cost,model,briefing_mean_direction,briefing_mean_clarity,briefing_mean_coordination,briefing_mean_z_score
stability,pure,normal,0.275,0.5,-0.2249999999999999,2,0.64,0.64,16,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,0.373899881916131,0.3829205737643371,0.6065041098333821,-0.5600286449214432
stability,pure,normal,0.275,0.5,-0.2249999999999999,5,0.48,0.48,12,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,0.3902197155853163,0.3977560964511724,0.595356153816114,-0.530649680385461
stability,pure,normal,0.275,0.5,-0.2249999999999999,6,0.6,0.6,15,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,0.3401555101711554,0.4908999377535435,0.6347116704539456,-0.7574636206715937
stability,pure,normal,0.275,0.5,-0.2249999999999999,8,0.6,0.6,15,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,0.3783073075365061,0.4204506231774085,0.6025021135181088,-0.5257044139657895
stability,pure,normal,0.275,0.5,-0.2249999999999999,10,0.64,0.64,16,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,0.3809983532624655,0.3519299008668289,0.5993676663327481,-0.4858819256465319
stability,pure,normal,0.275,0.5,-0.2249999999999999,12,0.6,0.6,15,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,0.3823151490630993,0.3420085222713633,0.5996699477716545,-0.522651339975065
stability,pure,normal,0.275,0.5,-0.2249999999999999,11,0.6,0.6,15,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,0.3615206180392266,0.4620552191489478,0.6200193658466636,-0.7338670165732328
stability,pure,normal,0.275,0.5,-0.2249999999999999,14,0.64,0.64,16,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,0.3284429623697679,0.4993010839072668,0.645577203581126,-0.8507573472495794
stability,pure,normal,0.275,0.5,-0.2249999999999999,13,0.56,0.56,14,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,0.3223408171253371,0.5179862032130373,0.6520709658977484,-0.9302013043441716
stability,pure,normal,0.275,0.5,-0.2249999999999999,3,0.72,0.72,18,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,0.3435111072293653,0.5048597154716199,0.6324098340959309,-0.7497112090969282
stability,pure,normal,0.275,0.5,-0.2249999999999999,23,0.6,0.6,15,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,0.3539495795830436,0.4747593390577675,0.6240048062222918,-0.6995631845108431
