design,treatment,signal_mode,theta,theta_star,theta_relative,rep,join_fraction,join_fraction_valid,n_join,n_agents,n_valid,n_api_error,n_unparseable,api_error_rate,unparseable_rate,coup_success,theoretical_attack,benefit,cost,model,briefing_mean_direction,briefing_mean_clarity,briefing_mean_coordination,briefing_mean_z_score
stability_clarity,pure,normal,0.2,0.5,-0.3,27,0.76,0.76,19,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.3080682146356458,0.5768727755832993,0.6513368156321104,-0.8759031486048434
stability_clarity,pure,normal,0.275,0.5,-0.2249999999999999,0,0.64,0.64,16,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,0.3437693962020175,0.4281867656200108,0.6215021995654368,-0.6406662290203673
stability_clarity,pure,normal,0.2,0.5,-0.3,29,0.68,0.68,17,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.2524051720472718,0.7363185383275515,0.6997291366579651,-1.2753055117654926
stability_clarity,pure,normal,0.275,0.5,-0.2249999999999999,2,0.56,0.56,14,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,0.3655273966011494,0.3829205737643371,0.6065041098333821,-0.5600286449214432
stability_clarity,pure,normal,0.275,0.5,-0.2249999999999999,3,0.8,0.8,20,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,0.3332919814577479,0.5048597154716199,0.6324098340959309,-0.7497112090969282
stability_clarity,pure,normal,0.275,0.5,-0.2249999999999999,4,0.44,0.44,11,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,0.3926086335378745,0.4578157744445436,0.5862820724408241,-0.4256165657812628
stability_clarity,pure,normal,0.275,0.5,-0.2249999999999999,5,0.48,0.48,12,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,0.3844645607159911,0.3977560964511724,0.595356153816114,-0.530649680385461
stability_clarity,pure,normal,0.275,0.5,-0.2249999999999999,1,0.68,0.68,17,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,0.3494389955334144,0.4727925697014966,0.6212020334284543,-0.6915401254419007
stability_clarity,pure,normal,0.2,0.5,-0.3,23,0.68,0.68,17,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.3062068531840555,0.6434700283811988,0.6558345434618079,-0.9495631845108432
stability_clarity,pure,normal,0.275,0.5,-0.2249999999999999,8,0.64,0.64,16,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,0.3700535377497963,0.4204506231774085,0.6025021135181088,-0.5257044139657895
stability_clarity,pure,normal,0.275,0.5,-0.2249999999999999,10,0.6,0.6,15,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,0.3724290666398422,0.3519299008668289,0.5993676663327481,-0.4858819256465319
stability_clarity,pure,normal,0.2,0.5,-0.3,25,0.72,0.72,18,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.2913763721396369,0.6624590426276932,0.6697404386110759,-1.0742841355671104
stability_clarity,pure,normal,0.275,0.5,-0.2249999999999999,9,0.6,0.6,15,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,0.3370875215852005,0.4321402711892779,0.6286108648122127,-0.713513638808659
stability_clarity,pure,normal,0.275,0.5,-0.2249999999999999,12,0.56,0.56,14,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,0.3745830848767846,0.3420085222713633,0.5996699477716545,-0.522651339975065
stability_clarity,pure,normal,0.275,0.5,-0.2249999999999999,15,0.76,0.76,19,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,0.287276083005721,0.5554502269149741,0.668547678798679,-1.0063058244815748
stability_clarity,pure,normal,0.275,0.5,-0.2249999999999999,19,0.68,0.68,17,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,0.2746155703137063,0.6243807804649346,0.6817042802790428,-1.1413363064606947
stability_clarity,pure,normal,0.2,0.5,-0.3,28,0.68,0.68,17,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,mistralai/mistral-small-creative,0.2748529246679639,0.6464216326338039,0.682685274621869,-1.176306349986393
stability_clarity,pure,normal,0.275,0.5,-0.2249999999999999,17,0.48,0.48,12,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,0.3948792310691725,0.4281855209334532,0.5837660976530642,-0.3970933076842032
stability_clarity,pure,normal,0.275,0.5,-0.2249999999999999,7,0.6,0.6,15,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,0.3230593124131007,0.5184802644140868,0.6427406785185521,-0.8597520385183202
stability_clarity,pure,normal,0.275,0.5,-0.2249999999999999,6,0.6,0.6,15,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,0.3293847954080807,0.4908999377535435,0.6347116704539456,-0.7574636206715937
stability_clarity,pure,normal,0.275,0.5,-0.2249999999999999,11,0.56,0.56,14,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,0.3539896939772553,0.4620552191489478,0.6200193658466636,-0.7338670165732328
stability_clarity,pure,normal,0.275,0.5,-0.2249999999999999,20,0.36,0.36,9,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,0.4160962881680053,0.3144486571676317,0.5661823364867677,-0.2644677949332025
stability_clarity,pure,normal,0.275,0.5,-0.2249999999999999,22,0.6,0.6,15,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,0.2970565014310857,0.5250894694158103,0.6608684226866512,-0.9528910935100636
stability_clarity,pure,normal,0.275,0.5,-0.2249999999999999,23,0.56,0.56,14,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,mistralai/mistral-small-creative,0.3446247660191084,0.4747593390577675,0.6240048062222918,-0.6995631845108431
