country,period,treatment,theta,theta_star,z,benefit,n_join,join_fraction,n_valid,n_api_error,n_unparseable,join_fraction_valid,api_error_rate,unparseable_rate,coup_success,theoretical_attack
0,9,pure,-0.1589105764146697,0.5351152497134072,-0.0964656418391349,1.151070774817885,13,0.52,25,0,0,0.52,0.0,0.0,True,0.991837206302061
0,10,pure,-2.8514440492388764,0.5461253164100672,-0.1834982183581092,1.203251329398846,25,1.0,25,0,0,1.0,0.0,0.0,True,1.0
0,11,pure,-0.1776120751483872,0.4911457107060626,-0.0434762174650667,0.9651991169958568,15,0.6,25,0,0,0.6,0.0,0.0,True,0.9863428440566436
0,12,pure,0.3963509843418281,0.5292350391399975,-0.1173589653584152,1.124202273196333,3,0.12,25,0,0,0.12,0.0,0.0,False,0.6971754350520499
0,13,pure,-0.8930585297314593,0.5115649787618756,-0.1968350875196209,1.0473552397310075,21,0.84,25,0,0,0.84,0.0,0.0,True,0.9999987679113704
0,14,pure,2.0074252072990673,0.4426170884124928,-0.0600593764925079,0.7940987770002768,0,0.0,25,0,0,0.0,0.0,0.0,False,4.152714786786798e-08
0,15,pure,-0.3746785692418634,0.5139703108388153,-0.0817151740135481,1.057487479264594,17,0.68,25,0,0,0.68,0.0,0.0,True,0.9986375890130772
0,16,pure,0.2964098962195181,0.5576468667945231,-0.1159766251370439,1.260637316511312,4,0.16,25,0,0,0.16,0.0,0.0,False,0.8451366662568922
0,17,pure,-0.2527282626446281,0.5189441927237252,-0.021698778445357,1.0787608940051538,16,0.64,25,0,0,0.64,0.0,0.0,True,0.99560022857458
0,18,pure,1.7694653864749827,0.4440501446076638,-0.0813612527727625,0.7987233746005666,0,0.0,25,0,0,0.0,0.0,0.0,False,2.572836081841882e-06
0,19,pure,-1.4277805074623344,0.5118559781768987,-0.1149010439191178,1.0485757384987295,23,0.92,25,0,0,0.92,0.0,0.0,True,0.9999999999585324
0,20,pure,-0.7665054199611054,0.5789683454906761,-0.0933246079413155,1.375118329678594,25,1.0,25,0,0,1.0,0.0,0.0,True,0.9999985944997242
0,21,pure,-0.9857283322434358,0.5165874293181414,-0.0895485423524081,1.06862638799295,25,1.0,25,0,0,1.0,0.0,0.0,True,0.9999997782953172
0,22,pure,0.461174717853195,0.4563002879229377,-0.146964332684995,0.8392505601663133,0,0.0,25,0,0,0.0,0.0,0.0,False,0.4498631862526276
0,23,pure,0.3403385328121334,0.5141649512433335,-0.0661965707755997,1.0583117717817352,4,0.16,25,0,0,0.16,0.0,0.0,False,0.7307012177728325
0,24,pure,-0.9763610863043009,0.4920888411444182,-0.139551156248592,0.9688482573471824,22,0.88,25,0,0,0.88,0.0,0.0,True,0.9999994559617402
0,25,pure,2.92538629606796,0.5385567054283229,-0.0443687853358072,1.1671135148430845,0,0.0,25,0,0,0.0,0.0,0.0,False,1.9314248424976445e-15
0,26,pure,-1.381275231058007,0.5322236860543377,-0.0920550203744214,1.1377739107075904,22,0.88,25,0,0,0.88,0.0,0.0,True,0.9999999999473678
0,27,pure,0.0946751670665201,0.463558247243063,0.0095055012867723,0.8641352856310988,9,0.36,25,0,0,0.36,0.0,0.0,True,0.8724683461081897
0,28,pure,-1.5072403235405762,0.501173087275043,-0.0122119464402756,1.0047033840601534,24,0.96,25,0,0,0.96,0.0,0.0,True,0.9999999999894102
0,29,pure,0.3689343178407862,0.5552519798229519,0.0172759870710393,1.24846419687695,7,0.28,25,0,0,0.28,0.0,0.0,False,0.776372946348687
0,30,pure,0.1492711033285134,0.5135425857506044,-0.0417415008941643,1.0556784020714356,6,0.24,25,0,0,0.24,0.0,0.0,True,0.8940194451068043
0,31,pure,0.3211704680243079,0.5423385468559278,-0.090421654596244,1.1850212490698864,1,0.04,25,0,0,0.04,0.0,0.0,False,0.8005406424337433
0,32,pure,-0.5250476615988334,0.560909362897636,-0.0230796623133388,1.2774341229391162,22,0.88,25,0,0,0.88,0.0,0.0,True,0.9999193945069742
0,33,pure,-0.8283027469335477,0.4886787168910672,-0.0474977970624007,0.9557175361835236,21,0.84,25,0,0,0.84,0.0,0.0,True,0.999993542967926
0,34,pure,-0.1964144347820927,0.5271378893446645,-0.0806443011996455,1.1147814076583742,12,0.48,25,0,0,0.48,0.0,0.0,True,0.9934293742105894
