country,period,treatment,theta,theta_star,z,benefit,n_join,join_fraction,n_valid,n_api_error,n_unparseable,join_fraction_valid,api_error_rate,unparseable_rate,coup_success,theoretical_attack,n_agents
0,0,pure,-1.5690379156212926,0.5430661838642469,0.0248126021213344,1.1885007515024986,11,0.44,25,0,0,0.44,0.0,0.0,True,0.9999999999995614,
0,1,pure,0.274139952961772,0.5052839828099566,-0.0441737824866911,1.0213616807475503,12,0.48,25,0,0,0.48,0.0,0.0,True,0.7833993922170609,
0,2,pure,-0.6921698666414775,0.4802610662052737,-0.1492895942429325,0.9240428895691608,11,0.44,25,0,0,0.44,0.0,0.0,True,0.9999429819015426,
0,3,pure,-0.0593178855348408,0.5274901519415617,-0.1269912987353798,1.116358006312545,12,0.48,25,0,0,0.48,0.0,0.0,True,0.978565753446258,
0,4,pure,0.7879336174018815,0.5189048065643461,-0.0672271240003965,1.078590710621492,12,0.48,25,0,0,0.48,0.0,0.0,False,0.1978411607396672,
0,5,pure,1.690847318114246,0.518472663039974,-0.16111230334916,1.0767252931332845,8,0.32,25,0,0,0.32,0.0,0.0,False,5.63246293204109e-05,
0,6,pure,-1.0228733453805765,0.4717785779603876,-0.0205478065031928,0.8931454845937846,8,0.32,25,0,0,0.32,0.0,0.0,True,0.999999547796543,
0,7,pure,0.2647496569968481,0.532296304090835,-0.0659411564522917,1.138105832275088,12,0.48,25,0,0,0.48,0.0,0.0,True,0.8346899517273453,
0,8,pure,1.4514390127670076,0.5694789192634964,-0.1431316388582483,1.3227666303570405,12,0.48,25,0,0,0.48,0.0,0.0,False,0.0028477169049809,
0,9,pure,-0.1589105764146697,0.5351152497134072,-0.0964656418391349,1.151070774817885,14,0.56,25,0,0,0.56,0.0,0.0,True,0.991837206302061,
0,10,pure,-2.8514440492388764,0.5461253164100672,-0.1834982183581092,1.203251329398846,10,0.4,25,0,0,0.4,0.0,0.0,True,1.0,
0,11,pure,-0.1776120751483872,0.4911457107060626,-0.0434762174650667,0.9651991169958568,14,0.56,25,0,0,0.56,0.0,0.0,True,0.9863428440566436,
0,12,pure,0.3963509843418281,0.5292350391399975,-0.1173589653584152,1.124202273196333,6,0.24,25,0,0,0.24,0.0,0.0,False,0.6971754350520499,
0,13,pure,-0.8930585297314593,0.5115649787618756,-0.1968350875196209,1.0473552397310075,14,0.56,25,0,0,0.56,0.0,0.0,True,0.9999987679113704,
0,14,pure,2.0074252072990673,0.4426170884124928,-0.0600593764925079,0.7940987770002768,11,0.44,25,0,0,0.44,0.0,0.0,False,4.152714786786798e-08,
0,15,pure,-0.3746785692418634,0.5139703108388153,-0.0817151740135481,1.057487479264594,12,0.48,25,0,0,0.48,0.0,0.0,True,0.9986375890130772,
0,16,pure,0.2964098962195181,0.5576468667945231,-0.1159766251370439,1.260637316511312,11,0.44,25,0,0,0.44,0.0,0.0,True,0.8451366662568922,
0,17,pure,-0.2527282626446281,0.5189441927237252,-0.021698778445357,1.0787608940051538,13,0.52,25,0,0,0.52,0.0,0.0,True,0.99560022857458,
0,18,pure,1.7694653864749827,0.4440501446076638,-0.0813612527727625,0.7987233746005666,7,0.28,25,0,0,0.28,0.0,0.0,False,2.572836081841882e-06,
0,19,pure,-1.4277805074623344,0.5118559781768987,-0.1149010439191178,1.0485757384987295,12,0.48,25,0,0,0.48,0.0,0.0,True,0.9999999999585324,
1,0,pure,0.7097084955846482,0.2737954012764491,0.6094133780351484,0.3770224007913184,11,0.44,25,0,0,0.44,0.0,0.0,False,0.0199676352834225,
1,1,pure,-0.830613638819826,0.169969516905282,0.5982634291415865,0.2047750297935577,12,0.48,25,0,0,0.48,0.0,0.0,True,0.9913669439943048,
1,2,pure,0.7050103806377809,0.3089523978946154,0.6734793711630473,0.4470783155217436,7,0.28,25,0,0,0.28,0.0,0.0,False,0.0344545506849382,
1,3,pure,0.0985067537265732,0.1850137452882117,0.6633991738155245,0.2270145591027667,5,0.2,25,0,0,0.2,0.0,0.0,True,0.2715721050595087,
1,4,pure,1.358107885350414,0.3388699326337024,0.6012319221333524,0.5125616718411211,7,0.28,25,0,0,0.28,0.0,0.0,False,6.864252840514062e-05,
1,5,pure,1.352838775020095,0.2698080805248818,0.7915601727063262,0.3695029667252786,8,0.32,25,0,0,0.32,0.0,0.0,False,1.2027090195027694e-05,
1,6,pure,-0.6843674900942175,0.4026942782828795,0.5786114081019585,0.67418453170886,9,0.36,25,0,0,0.36,0.0,0.0,True,0.999633807607018,
1,7,pure,0.3214726599226475,0.3785083933497861,0.6473309019251252,0.6090321885277158,9,0.36,25,0,0,0.36,0.0,0.0,True,0.4525261601454273,
1,8,pure,1.867534843223956,0.4108969880083319,0.5683209997811228,0.6974959890616608,6,0.24,25,0,0,0.24,0.0,0.0,False,1.8802555601192466e-07,
1,9,pure,0.6746305465806953,0.3422971761540511,0.6606553351746252,0.5204435251660496,12,0.48,25,0,0,0.48,0.0,0.0,False,0.0650154974921961,
1,10,pure,1.528883906909681,0.2724114008840114,0.6526230488472717,0.3744030640598106,13,0.52,25,0,0,0.52,0.0,0.0,False,8.183475356537764e-07,
1,11,pure,2.1559987086244385,0.3656549238501209,0.6636520247671654,0.5764290409085264,6,0.24,25,0,0,0.24,0.0,0.0,False,1.3844337781382316e-10,
1,12,pure,-0.0344565425081466,0.3347413030989718,0.6179740186718631,0.5031746366613407,5,0.2,25,0,0,0.2,0.0,0.0,True,0.7892441237632427,
1,13,pure,1.0120274197949082,0.287614890640733,0.6040321711425805,0.4037351242496061,9,0.36,25,0,0,0.36,0.0,0.0,False,0.001464587078232,
1,14,pure,-0.4744853169013419,0.3329741483894283,0.6372839119570155,0.4991922690634004,12,0.48,25,0,0,0.48,0.0,0.0,True,0.988083669208933,
1,15,pure,0.4666387097257315,0.1804138296377098,0.7247760972059849,0.2201279574519415,4,0.16,25,0,0,0.16,0.0,0.0,False,0.030889952849407,
1,16,pure,1.6541362919508251,0.1847074853233803,0.6620913218525923,0.2265536381094378,6,0.24,25,0,0,0.24,0.0,0.0,False,3.4025334746173302e-09,
1,17,pure,2.0046874367516545,0.1001005149594123,0.6495166488367933,0.1112352175142066,7,0.28,25,0,0,0.28,0.0,0.0,False,1.1773967958612061e-14,
1,18,pure,0.5443413106885528,0.2235765927862199,0.630825824453069,0.287957048575508,7,0.28,25,0,0,0.28,0.0,0.0,False,0.0336709485795557,
1,19,pure,1.85320260802099,0.3704714946750819,0.6785314155823111,0.58849042027711,8,0.32,25,0,0,0.32,0.0,0.0,False,6.709046219398024e-08,
2,0,pure,-1.7569881192258414,0.323148297435986,-0.3429504917923603,0.4774285064392284,12,0.48,25,0,0,0.48,0.0,0.0,True,0.9999999999525548,
2,1,pure,-0.7641311816275873,0.4353940510422949,-0.2091147584444414,0.7711467650067403,10,0.4,25,0,0,0.4,0.0,0.0,True,0.9999374116813814,
2,2,pure,-0.1775605797417692,0.3511500080896763,-0.4149208844403616,0.5411882753605831,10,0.4,25,0,0,0.4,0.0,0.0,True,0.9162299353267715,
2,3,pure,-0.9109036544272888,0.4196904630415693,-0.2748634266192891,0.7232182763035185,11,0.44,25,0,0,0.44,0.0,0.0,True,0.9999884511972148,
2,4,pure,-0.1195027929254781,0.3835592047342814,-0.2897014795064702,0.6222158034965015,12,0.48,25,0,0,0.48,0.0,0.0,True,0.9163185564214764,
2,5,pure,-0.8031768675703878,0.3727979442860278,-0.3620905210891256,0.5943825293455953,8,0.32,25,0,0,0.32,0.0,0.0,True,0.999838093097082,
2,6,pure,0.9797735031078544,0.3213327814991275,-0.340369399304391,0.4734762085738113,14,0.56,25,0,0,0.56,0.0,0.0,False,0.0039212363915421,
2,7,pure,-0.8523355093681437,0.4227315895907434,-0.3451025534662288,0.7322964187336117,8,0.32,25,0,0,0.32,0.0,0.0,True,0.9999749664331776,
2,8,pure,0.5250375428876748,0.390041696044012,-0.3294563190079161,0.6394563259723336,9,0.36,25,0,0,0.36,0.0,0.0,False,0.2329407304135951,
2,9,pure,-1.7994803480647013,0.4520750549337042,-0.3361313121563118,0.8250674823337452,11,0.44,25,0,0,0.44,0.0,0.0,True,0.9999999999999236,
2,10,pure,-1.2314030428890026,0.307044843374425,-0.2623732337467839,0.4430948243023622,9,0.36,25,0,0,0.36,0.0,0.0,True,0.9999981171814426,
