design,signal_mode,theta,theta_star,theta_relative,rep,join_fraction,join_fraction_valid,n_join,n_agents,n_valid,n_api_error,n_unparseable,api_error_rate,unparseable_rate,coup_success,theoretical_attack,benefit,cost,model,treatment
flip,flip,0.35,0.5,-0.1499999999999999,6,0.92,0.92,23,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.35,0.5,-0.1499999999999999,7,0.84,0.84,21,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.35,0.5,-0.1499999999999999,8,0.92,0.92,23,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.35,0.5,-0.1499999999999999,9,0.84,0.84,21,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.35,0.5,-0.1499999999999999,10,0.8,0.8,20,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.35,0.5,-0.1499999999999999,11,0.88,0.88,22,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.35,0.5,-0.1499999999999999,12,0.92,0.92,23,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.35,0.5,-0.1499999999999999,13,0.84,0.84,21,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.35,0.5,-0.1499999999999999,14,0.88,0.88,22,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.35,0.5,-0.1499999999999999,15,0.64,0.64,16,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.35,0.5,-0.1499999999999999,16,0.92,0.92,23,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.35,0.5,-0.1499999999999999,17,0.64,0.64,16,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.35,0.5,-0.1499999999999999,18,0.88,0.88,22,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.35,0.5,-0.1499999999999999,19,0.84,0.84,21,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.35,0.5,-0.1499999999999999,20,0.8,0.8,20,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.35,0.5,-0.1499999999999999,21,0.92,0.92,23,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.35,0.5,-0.1499999999999999,22,0.88,0.88,22,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.35,0.5,-0.1499999999999999,23,0.84,0.84,21,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.35,0.5,-0.1499999999999999,24,0.88,0.88,22,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.35,0.5,-0.1499999999999999,25,0.92,0.92,23,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.35,0.5,-0.1499999999999999,26,0.8,0.8,20,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.35,0.5,-0.1499999999999999,27,0.84,0.84,21,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.35,0.5,-0.1499999999999999,28,0.76,0.76,19,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.35,0.5,-0.1499999999999999,29,0.76,0.76,19,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.425,0.5,-0.0749999999999999,0,0.84,0.84,21,25,25,0,0,0.0,0.0,True,0.5987063256829237,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.425,0.5,-0.0749999999999999,1,0.84,0.84,21,25,25,0,0,0.0,0.0,True,0.5987063256829237,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.425,0.5,-0.0749999999999999,2,0.88,0.88,22,25,25,0,0,0.0,0.0,True,0.5987063256829237,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.425,0.5,-0.0749999999999999,3,0.88,0.88,22,25,25,0,0,0.0,0.0,True,0.5987063256829237,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.425,0.5,-0.0749999999999999,4,0.96,0.96,24,25,25,0,0,0.0,0.0,True,0.5987063256829237,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.425,0.5,-0.0749999999999999,5,0.96,0.96,24,25,25,0,0,0.0,0.0,True,0.5987063256829237,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.425,0.5,-0.0749999999999999,6,0.92,0.92,23,25,25,0,0,0.0,0.0,True,0.5987063256829237,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.425,0.5,-0.0749999999999999,7,0.88,0.88,22,25,25,0,0,0.0,0.0,True,0.5987063256829237,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.425,0.5,-0.0749999999999999,8,0.92,0.92,23,25,25,0,0,0.0,0.0,True,0.5987063256829237,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.425,0.5,-0.0749999999999999,9,0.84,0.84,21,25,25,0,0,0.0,0.0,True,0.5987063256829237,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.425,0.5,-0.0749999999999999,10,0.88,0.88,22,25,25,0,0,0.0,0.0,True,0.5987063256829237,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.425,0.5,-0.0749999999999999,11,0.88,0.88,22,25,25,0,0,0.0,0.0,True,0.5987063256829237,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.425,0.5,-0.0749999999999999,12,0.88,0.88,22,25,25,0,0,0.0,0.0,True,0.5987063256829237,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.425,0.5,-0.0749999999999999,13,0.8,0.8,20,25,25,0,0,0.0,0.0,True,0.5987063256829237,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.425,0.5,-0.0749999999999999,14,0.84,0.84,21,25,25,0,0,0.0,0.0,True,0.5987063256829237,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.425,0.5,-0.0749999999999999,15,0.84,0.84,21,25,25,0,0,0.0,0.0,True,0.5987063256829237,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.425,0.5,-0.0749999999999999,16,0.84,0.84,21,25,25,0,0,0.0,0.0,True,0.5987063256829237,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.425,0.5,-0.0749999999999999,17,0.8,0.8,20,25,25,0,0,0.0,0.0,True,0.5987063256829237,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.425,0.5,-0.0749999999999999,18,0.96,0.96,24,25,25,0,0,0.0,0.0,True,0.5987063256829237,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.425,0.5,-0.0749999999999999,19,0.84,0.84,21,25,25,0,0,0.0,0.0,True,0.5987063256829237,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.425,0.5,-0.0749999999999999,20,1.0,1.0,25,25,25,0,0,0.0,0.0,True,0.5987063256829237,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.425,0.5,-0.0749999999999999,21,0.88,0.88,22,25,25,0,0,0.0,0.0,True,0.5987063256829237,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.425,0.5,-0.0749999999999999,22,0.8,0.8,20,25,25,0,0,0.0,0.0,True,0.5987063256829237,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.425,0.5,-0.0749999999999999,23,0.8,0.8,20,25,25,0,0,0.0,0.0,True,0.5987063256829237,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.425,0.5,-0.0749999999999999,24,0.92,0.92,23,25,25,0,0,0.0,0.0,True,0.5987063256829237,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.425,0.5,-0.0749999999999999,25,0.92,0.92,23,25,25,0,0,0.0,0.0,True,0.5987063256829237,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.425,0.5,-0.0749999999999999,26,0.92,0.92,23,25,25,0,0,0.0,0.0,True,0.5987063256829237,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.425,0.5,-0.0749999999999999,27,0.92,0.92,23,25,25,0,0,0.0,0.0,True,0.5987063256829237,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.425,0.5,-0.0749999999999999,28,0.84,0.84,21,25,25,0,0,0.0,0.0,True,0.5987063256829237,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.425,0.5,-0.0749999999999999,29,0.8,0.8,20,25,25,0,0,0.0,0.0,True,0.5987063256829237,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.5,0.5,0.0,0,0.96,0.96,24,25,25,0,0,0.0,0.0,True,0.5,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.5,0.5,0.0,1,0.92,0.92,23,25,25,0,0,0.0,0.0,True,0.5,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.5,0.5,0.0,2,0.88,0.88,22,25,25,0,0,0.0,0.0,True,0.5,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.5,0.5,0.0,3,0.88,0.88,22,25,25,0,0,0.0,0.0,True,0.5,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.5,0.5,0.0,4,1.0,1.0,25,25,25,0,0,0.0,0.0,True,0.5,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.5,0.5,0.0,5,0.96,0.96,24,25,25,0,0,0.0,0.0,True,0.5,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.5,0.5,0.0,6,0.92,0.92,23,25,25,0,0,0.0,0.0,True,0.5,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.5,0.5,0.0,7,0.96,0.96,24,25,25,0,0,0.0,0.0,True,0.5,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.5,0.5,0.0,8,0.88,0.88,22,25,25,0,0,0.0,0.0,True,0.5,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.5,0.5,0.0,9,0.96,0.96,24,25,25,0,0,0.0,0.0,True,0.5,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.5,0.5,0.0,10,1.0,1.0,25,25,25,0,0,0.0,0.0,True,0.5,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.5,0.5,0.0,11,0.92,0.92,23,25,25,0,0,0.0,0.0,True,0.5,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
flip,flip,0.5,0.5,0.0,12,0.92,0.92,23,25,25,0,0,0.0,0.0,True,0.5,1.0,1.0,meta-llama/llama-3.3-70b-instruct,
