country,period,treatment,theta,theta_star,z,benefit,n_join,join_fraction,n_valid,n_api_error,n_unparseable,join_fraction_valid,api_error_rate,unparseable_rate,coup_success,theoretical_attack
0,0,communication,-1.5690379156212926,0.5430661838642469,0.0248126021213344,1.1885007515024986,39,0.78,50,0,0,0.78,0.0,0.0,True,0.9999999999995614
0,1,communication,0.274139952961772,0.5052839828099566,-0.0441737824866911,1.0213616807475503,0,0.0,50,0,0,0.0,0.0,0.0,False,0.7833993922170609
0,2,communication,-0.6921698666414775,0.4802610662052737,-0.1492895942429325,0.9240428895691608,28,0.56,50,0,0,0.56,0.0,0.0,True,0.9999429819015426
0,3,communication,-0.0593178855348408,0.5274901519415617,-0.1269912987353798,1.116358006312545,1,0.02,50,0,0,0.02,0.0,0.0,True,0.978565753446258
0,4,communication,0.7879336174018815,0.5189048065643461,-0.0672271240003965,1.078590710621492,0,0.0,50,0,0,0.0,0.0,0.0,False,0.1978411607396672
0,5,communication,1.690847318114246,0.518472663039974,-0.16111230334916,1.0767252931332845,0,0.0,50,0,0,0.0,0.0,0.0,False,5.63246293204109e-05
0,6,communication,-1.0228733453805765,0.4717785779603876,-0.0205478065031928,0.8931454845937846,37,0.74,50,0,0,0.74,0.0,0.0,True,0.999999547796543
0,7,communication,0.2647496569968481,0.532296304090835,-0.0659411564522917,1.138105832275088,1,0.02,50,0,0,0.02,0.0,0.0,False,0.8346899517273453
0,8,communication,1.4514390127670076,0.5694789192634964,-0.1431316388582483,1.3227666303570405,0,0.0,50,0,0,0.0,0.0,0.0,False,0.0028477169049809
0,9,communication,-0.1589105764146697,0.5351152497134072,-0.0964656418391349,1.151070774817885,9,0.18,50,0,0,0.18,0.0,0.0,True,0.991837206302061
0,10,communication,-2.8514440492388764,0.5461253164100672,-0.1834982183581092,1.203251329398846,40,0.8,50,0,0,0.8,0.0,0.0,True,1.0
0,11,communication,-0.1776120751483872,0.4911457107060626,-0.0434762174650667,0.9651991169958568,11,0.22,50,0,0,0.22,0.0,0.0,True,0.9863428440566436
0,12,communication,0.3963509843418281,0.5292350391399975,-0.1173589653584152,1.124202273196333,1,0.02,50,0,0,0.02,0.0,0.0,False,0.6971754350520499
0,13,communication,-0.8930585297314593,0.5115649787618756,-0.1968350875196209,1.0473552397310075,33,0.66,50,0,0,0.66,0.0,0.0,True,0.9999987679113704
0,14,communication,2.0074252072990673,0.4426170884124928,-0.0600593764925079,0.7940987770002768,0,0.0,50,0,0,0.0,0.0,0.0,False,4.152714786786798e-08
0,15,communication,-0.3746785692418634,0.5139703108388153,-0.0817151740135481,1.057487479264594,18,0.36,50,0,0,0.36,0.0,0.0,True,0.9986375890130772
0,16,communication,0.2964098962195181,0.5576468667945231,-0.1159766251370439,1.260637316511312,1,0.02,50,0,0,0.02,0.0,0.0,False,0.8451366662568922
0,17,communication,-0.2527282626446281,0.5189441927237252,-0.021698778445357,1.0787608940051538,16,0.32,50,0,0,0.32,0.0,0.0,True,0.99560022857458
0,18,communication,1.7694653864749827,0.4440501446076638,-0.0813612527727625,0.7987233746005666,0,0.0,50,0,0,0.0,0.0,0.0,False,2.572836081841882e-06
0,19,communication,-1.4277805074623344,0.5118559781768987,-0.1149010439191178,1.0485757384987295,41,0.82,50,0,0,0.82,0.0,0.0,True,0.9999999999585324
0,20,communication,-0.7665054199611054,0.5789683454906761,-0.0933246079413155,1.375118329678594,28,0.56,50,0,0,0.56,0.0,0.0,True,0.9999985944997242
0,21,communication,-0.9857283322434358,0.5165874293181414,-0.0895485423524081,1.06862638799295,34,0.68,50,0,0,0.68,0.0,0.0,True,0.9999997782953172
0,22,communication,0.461174717853195,0.4563002879229377,-0.146964332684995,0.8392505601663133,0,0.0,50,0,0,0.0,0.0,0.0,False,0.4498631862526276
0,23,communication,0.3403385328121334,0.5141649512433335,-0.0661965707755997,1.0583117717817352,2,0.04,50,0,0,0.04,0.0,0.0,False,0.7307012177728325
0,24,communication,-0.9763610863043009,0.4920888411444182,-0.139551156248592,0.9688482573471824,33,0.66,50,0,0,0.66,0.0,0.0,True,0.9999994559617402
1,0,communication,0.9368291453490756,0.4321890486925698,0.3755505430353068,0.761149547569345,0,0.0,50,0,0,0.0,0.0,0.0,False,0.0319456670187084
1,1,communication,-1.1003771197652368,0.5159333239181332,0.1626017784309392,1.0658311125529265,37,0.74,50,0,0,0.74,0.0,0.0,True,0.999999971449727
1,2,communication,-0.0945369697483718,0.500169634771502,0.2313212722541058,1.0006787693717822,11,0.22,50,0,0,0.22,0.0,0.0,True,0.9763040267909858
1,3,communication,1.4515252135529364,0.5213347263106486,0.1523113701101034,1.089142569905727,0,0.0,50,0,0,0.0,0.0,0.0,False,0.001155184166147
1,4,communication,0.258620916909676,0.4770120943271543,0.2446457055036058,0.912090106010116,3,0.06,50,0,0,0.06,0.0,0.0,False,0.748671984938716
1,5,communication,1.1128742772386615,0.4337645020990176,0.2366134191762523,0.7660496449038772,0,0.0,50,0,0,0.0,0.0,0.0,False,0.0075390605411474
1,6,communication,1.7399890789534191,0.491889443196553,0.247642395096146,0.9680756217525928,0,0.0,50,0,0,0.0,0.0,0.0,False,1.4532975518322425e-05
1,7,communication,-0.450466172179166,0.472245723891285,0.2019643890008437,0.8948212175054071,39,0.78,50,0,0,0.78,0.0,0.0,True,0.9986768051571552
1,8,communication,0.5960177901238889,0.4430153781990188,0.1880225414715611,0.7953817050936727,0,0.0,50,0,0,0.0,0.0,0.0,False,0.2567696736179267
