model_key,model,effect,left,right,n_pairs,diff,se,ci_low,ci_high,t,p
qwen30,Qwen3-30B-A3B,comm_vs_pure,comm,pure,250,0.011199999999999995,0.006448610572305714,-0.001500776267211448,0.02390077626721144,1.736808243329138,0.08365771457224656
qwen30,Qwen3-30B-A3B,surveillance_vs_comm,surveillance,comm,250,-0.04012063492063492,0.006203099802703075,-0.052337868675711205,-0.027903401165558627,-6.467836436091496,5.222881944206913e-10
qwen30,Qwen3-30B-A3B,coded_vs_direct,coded,direct,250,-0.022799999999999997,0.0045346324620927185,-0.03173112581529034,-0.013868874184709655,-5.0279708864162,9.484707283544416e-07
qwen30,Qwen3-30B-A3B,flip_vs_pure,flip,pure,250,-0.07080000000000003,0.04495009995476957,-0.15933087906503754,0.01773087906503748,-1.575079923542808,0.11650766395662775
qwen30,Qwen3-30B-A3B,scramble_vs_pure,scramble,pure,250,-0.002,0.003468735866862195,-0.008831803173891503,0.004831803173891503,-0.5765789258001913,0.5647447828879819
deepseekv4,DeepSeek V4 Flash,comm_vs_pure,comm,pure,250,0.2172,0.011104498165971857,0.1953292814654738,0.23907071853452622,19.5596412150869,3.0525485711468257e-52
deepseekv4,DeepSeek V4 Flash,surveillance_vs_comm,surveillance,comm,250,-0.1364,0.01157393554223208,-0.1591952927541191,-0.1136047072458809,-11.785101057655856,9.04002973971436e-26
deepseekv4,DeepSeek V4 Flash,coded_vs_direct,coded,direct,250,-0.0532,0.009637977091155516,-0.07218235121050388,-0.03421764878949611,-5.519830509746703,8.508802436974052e-08
deepseekv4,DeepSeek V4 Flash,flip_vs_pure,flip,pure,250,-0.052399999999999995,0.04049166903258221,-0.13214983499196173,0.027349834991961745,-1.2940933592496662,0.19683213874531227
deepseekv4,DeepSeek V4 Flash,scramble_vs_pure,scramble,pure,250,0.008000000000000004,0.008139348621599627,-0.008030747188818129,0.024030747188818136,0.9828796347130494,0.3266207275245135
gemma4,Gemma 4 26B A4B,comm_vs_pure,comm,pure,250,-0.051199999999999996,0.007545992846016256,-0.06606211111317935,-0.03633788888682064,-6.785058115583814,8.415471432021699e-11
gemma4,Gemma 4 26B A4B,surveillance_vs_comm,surveillance,comm,250,-0.134,0.013521364917675574,-0.1606308267061809,-0.10736917329381913,-9.910242110604587,9.907664672974125e-20
gemma4,Gemma 4 26B A4B,coded_vs_direct,coded,direct,250,-0.15560000000000002,0.012545281837628926,-0.18030839509414906,-0.13089160490585097,-12.403069298394385,7.907031445086467e-28
gemma4,Gemma 4 26B A4B,flip_vs_pure,flip,pure,250,-0.040400000000000005,0.02945882975615986,-0.09842025128229745,0.017620251282297432,-1.3714054609230475,0.17148317113430744
gemma4,Gemma 4 26B A4B,scramble_vs_pure,scramble,pure,250,0.0,0.0037598598623803732,-0.007405182616119319,0.007405182616119319,0.0,1.0
llamamav,Llama 4 Maverick,comm_vs_pure,comm,pure,250,-0.0015999999999999996,0.00734612976266822,-0.016068473402045116,0.012868473402045118,-0.21780176115740932,0.8277619508153277
llamamav,Llama 4 Maverick,surveillance_vs_comm,surveillance,comm,250,-0.032799999999999996,0.00611934847045102,-0.044852282418491866,-0.020747717581508125,-5.360047749917158,1.896347215683804e-07
llamamav,Llama 4 Maverick,coded_vs_direct,coded,direct,250,-0.036,0.006605340421836971,-0.049009461484122975,-0.02299053851587702,-5.450135451154878,1.2094824320440952e-07
llamamav,Llama 4 Maverick,flip_vs_pure,flip,pure,250,-0.06719999999999998,0.0480513513803505,-0.16183890808354134,0.027438908083541366,-1.3985038520161137,0.16320604599337843
llamamav,Llama 4 Maverick,scramble_vs_pure,scramble,pure,250,0.0012000000000000001,0.0021570469178074196,-0.003048383429851697,0.005448383429851697,0.5563161329934204,0.5784943503822397
mistral4,Mistral Small 4,comm_vs_pure,comm,pure,250,-0.058,0.007801760690992647,-0.07336585531341727,-0.04263414468658273,-7.434219312438363,1.689666591345212e-12
mistral4,Mistral Small 4,surveillance_vs_comm,surveillance,comm,250,-0.027199999999999995,0.006406623079057205,-0.0398180803512787,-0.014581919648721289,-4.245606408298759,3.079815746407367e-05
mistral4,Mistral Small 4,coded_vs_direct,coded,direct,250,-0.0059999999999999975,0.006414090913683402,-0.01863278852689644,0.006632788526896445,-0.9354404358690941,0.3504676804962183
mistral4,Mistral Small 4,flip_vs_pure,flip,pure,250,-0.06960000000000001,0.04468343987649997,-0.15760568220975768,0.018405682209757662,-1.5576240368325855,0.12059246261160714
mistral4,Mistral Small 4,scramble_vs_pure,scramble,pure,250,0.0088,0.005891440936241396,-0.002803410127453011,0.02040341012745301,1.493692306387476,0.13652213587910889
glm51,GLM 5.1,comm_vs_pure,comm,pure,250,0.00040000000000000257,0.008150339569820173,-0.015652394266548825,0.016452394266548827,0.04907770977802684,0.960896709998254
glm51,GLM 5.1,surveillance_vs_comm,surveillance,comm,250,-0.10671111111111112,0.010117833797882074,-0.12663855779669744,-0.08678366442552479,-10.546833763314883,9.695104426286334e-22
glm51,GLM 5.1,coded_vs_direct,coded,direct,250,-0.0516,0.007524375382687814,-0.06641953472216912,-0.03678046527783088,-6.857712085806083,5.495574763845793e-11
glm51,GLM 5.1,flip_vs_pure,flip,pure,250,-0.048,0.040420281997867714,-0.12760923559522003,0.031609235595220025,-1.1875226403054817,0.2361531102849768
glm51,GLM 5.1,scramble_vs_pure,scramble,pure,250,-0.0023999999999999985,0.006360722850488213,-0.014927678158878955,0.010127678158878956,-0.3773156064826481,0.7062604644754802
pooled,Pooled equal-cell,comm_vs_pure,comm,pure,1500,0.01966666666666667,0.004102046030999066,0.011620307255510566,0.02771302607782277,4.794355430935228,1.7941123716221635e-06
