country,period,treatment,theta,theta_star,z,benefit,n_join,join_fraction,n_valid,n_api_error,n_unparseable,join_fraction_valid,api_error_rate,unparseable_rate,coup_success,theoretical_attack
1,3,pure,0.09850675372657325,0.18501374528821177,0.6633991738155245,0.22701455910276677,19,0.76,24,0,1,0.7916666666666666,0.0,0.04,True,0.2715721050595087
1,4,pure,1.358107885350414,0.33886993263370246,0.6012319221333524,0.5125616718411211,0,0.0,25,0,0,0.0,0.0,0.0,False,6.864252840514062e-05
1,5,pure,1.352838775020095,0.26980808052488187,0.7915601727063262,0.3695029667252786,2,0.08,25,0,0,0.08,0.0,0.0,False,1.2027090195027694e-05
1,6,pure,-0.6843674900942175,0.4026942782828795,0.5786114081019585,0.67418453170886,22,0.88,25,0,0,0.88,0.0,0.0,True,0.999633807607018
1,7,pure,0.3214726599226475,0.3785083933497861,0.6473309019251252,0.6090321885277158,15,0.6,24,0,1,0.625,0.0,0.04,True,0.4525261601454273
1,8,pure,1.867534843223956,0.4108969880083319,0.5683209997811228,0.6974959890616608,0,0.0,24,0,1,0.0,0.0,0.04,False,1.8802555601192466e-07
1,9,pure,0.6746305465806953,0.3422971761540511,0.6606553351746252,0.5204435251660496,10,0.4,25,0,0,0.4,0.0,0.0,False,0.06501549749219618
1,10,pure,1.5288839069096807,0.2724114008840114,0.6526230488472717,0.37440306405981066,0,0.0,25,0,0,0.0,0.0,0.0,False,8.183475356537764e-07
1,11,pure,2.1559987086244385,0.36565492385012094,0.6636520247671654,0.5764290409085264,0,0.0,25,0,0,0.0,0.0,0.0,False,1.3844337781382316e-10
1,12,pure,-0.03445654250814667,0.3347413030989718,0.6179740186718631,0.5031746366613407,22,0.88,25,0,0,0.88,0.0,0.0,True,0.7892441237632427
1,13,pure,1.0120274197949082,0.287614890640733,0.6040321711425805,0.40373512424960617,4,0.16,25,0,0,0.16,0.0,0.0,False,0.00146458707823201
1,14,pure,-0.4744853169013419,0.33297414838942835,0.6372839119570155,0.4991922690634004,20,0.8,25,0,0,0.8,0.0,0.0,True,0.988083669208933
1,15,pure,0.4666387097257315,0.18041382963770988,0.7247760972059849,0.2201279574519415,15,0.6,25,0,0,0.6,0.0,0.0,True,0.030889952849407074
1,16,pure,1.6541362919508251,0.18470748532338038,0.6620913218525923,0.2265536381094378,0,0.0,25,0,0,0.0,0.0,0.0,False,3.4025334746173302e-09
1,17,pure,2.0046874367516545,0.10010051495941234,0.6495166488367933,0.11123521751420667,0,0.0,25,0,0,0.0,0.0,0.0,False,1.177396795861206e-14
1,18,pure,0.5443413106885528,0.2235765927862199,0.630825824453069,0.287957048575508,17,0.68,25,0,0,0.68,0.0,0.0,True,0.033670948579555784
1,19,pure,1.85320260802099,0.3704714946750819,0.6785314155823111,0.58849042027711,0,0.0,24,0,1,0.0,0.0,0.04,False,6.709046219398024e-08
2,0,pure,-1.7569881192258414,0.323148297435986,-0.34295049179236037,0.4774285064392284,19,0.76,24,0,1,0.7916666666666666,0.0,0.04,True,0.9999999999525547
2,1,pure,-0.7641311816275873,0.43539405104229495,-0.20911475844444144,0.7711467650067403,22,0.88,25,0,0,0.88,0.0,0.0,True,0.9999374116813814
2,2,pure,-0.17756057974176928,0.35115000808967634,-0.4149208844403616,0.5411882753605831,9,0.36,24,0,1,0.375,0.0,0.04,True,0.9162299353267715
2,3,pure,-0.9109036544272889,0.4196904630415693,-0.2748634266192891,0.7232182763035185,16,0.64,24,0,1,0.6666666666666666,0.0,0.04,True,0.9999884511972148
2,4,pure,-0.11950279292547811,0.38355920473428146,-0.2897014795064702,0.6222158034965015,9,0.36,25,0,0,0.36,0.0,0.0,True,0.9163185564214765
2,5,pure,-0.8031768675703878,0.3727979442860278,-0.36209052108912565,0.5943825293455953,19,0.76,25,0,0,0.76,0.0,0.0,True,0.9998380930970819
2,6,pure,0.9797735031078545,0.3213327814991275,-0.34036939930439103,0.4734762085738113,0,0.0,25,0,0,0.0,0.0,0.0,False,0.003921236391542151
2,7,pure,-0.8523355093681437,0.4227315895907434,-0.3451025534662288,0.7322964187336117,19,0.76,25,0,0,0.76,0.0,0.0,True,0.9999749664331777
2,8,pure,0.5250375428876748,0.390041696044012,-0.3294563190079161,0.6394563259723336,0,0.0,25,0,0,0.0,0.0,0.0,False,0.2329407304135951
2,9,pure,-1.7994803480647013,0.45207505493370426,-0.3361313121563118,0.8250674823337452,19,0.76,22,0,3,0.8636363636363636,0.0,0.12,True,0.9999999999999236
2,10,pure,-1.2314030428890026,0.30704484337442506,-0.2623732337467839,0.44309482430236224,21,0.84,25,0,0,0.84,0.0,0.0,True,0.9999981171814426
2,11,pure,0.012878055101407437,0.4461208763882704,-0.3255405700614793,0.8054480795001078,8,0.32,25,0,0,0.32,0.0,0.0,True,0.9046777000471036
2,12,pure,-0.3262343530295832,0.3226651688970861,-0.26978370830374265,0.47637468808696254,15,0.6,25,0,0,0.6,0.0,0.0,True,0.9556915780720844
2,13,pure,0.22809404067098016,0.37079228678562265,-0.3431596911319419,0.5893002882806205,1,0.04,25,0,0,0.04,0.0,0.0,False,0.5580018608532517
2,14,pure,-0.8250978588394176,0.45093422809133304,-0.33903296139104055,0.8212754303073598,16,0.64,23,0,2,0.6956521739130435,0.0,0.08,True,0.9999818727952765
2,15,pure,0.4989038848058872,0.3497528633334769,-0.29172158101677004,0.537876821921088,2,0.08,25,0,0,0.08,0.0,0.0,False,0.18857549813700997
2,16,pure,-1.0962614667727775,0.408507791545194,-0.34227621279622134,0.6906393452119441,21,0.84,25,0,0,0.84,0.0,0.0,True,0.9999991429852262
2,17,pure,1.6390477340577996,0.3419731549141648,-0.34641562367936085,0.51969483839152,0,0.0,25,0,0,0.0,0.0,0.0,False,1.1189227418076514e-06
2,18,pure,-0.18377683534002567,0.436435914854538,-0.2393818526412863,0.7744210931076084,9,0.36,25,0,0,0.36,0.0,0.0,True,0.9717632724676359
2,19,pure,-1.2293319141105017,0.3847958737797212,-0.3243021799512374,0.625476744026164,22,0.88,25,0,0,0.88,0.0,0.0,True,0.9999998186090712
3,0,pure,0.6227198878386024,0.13658108350857923,0.07416744194980034,0.15818634604809045,2,0.08,25,0,0,0.08,0.0,0.0,False,0.0033010811780194594
3,1,pure,-1.4611806082069945,0.1777397889426446,0.05091655468097324,0.21616002641558765,24,0.96,25,0,0,0.96,0.0,0.0,True,0.9999971746558032
3,2,pure,1.8565684261076598,0.0380715989423558,0.047714263646553304,0.03957841238547061,0,0.0,25,0,0,0.0,0.0,0.0,False,2.3409999221550043e-15
3,3,pure,0.9990980978734606,0.10440949073030244,0.07989947478983683,0.11658172976335174,0,0.0,25,0,0,0.0,0.0,0.0,False,1.1220138520085862e-05
3,4,pure,0.13709783129675548,0.07721972465379907,0.13288710922326294,0.0836815943262641,12,0.48,25,0,0,0.48,0.0,0.0,True,0.05222868610929
3,5,pure,0.33417649738301536,0.007177220913186206,-0.012960210845332262,0.007229105802535801,4,0.16,25,0,0,0.16,0.0,0.0,False,0.00020138155259707998
3,6,pure,1.607012631583919,1.0,0.13485679903755,-0.1459122816024149,0,0.0,24,0,1,0.0,0.0,0.04,False,0.0
3,7,pure,0.930620186324557,0.06597114771202565,0.08801524350086845,0.0706307386013016,0,0.0,25,0,0,0.0,0.0,0.0,False,5.702820185245747e-06
3,8,pure,1.5649643479829936,0.21962841886214002,0.08953023089374398,0.2814408214890396,0,0.0,25,0,0,0.0,0.0,0.0,False,7.285411708650976e-08
3,9,pure,-1.438378815496846,0.23724138656586252,0.007584615786663397,0.3110307538812838,21,0.84,25,0,0,0.84,0.0,0.0,True,0.9999994425628533
3,10,pure,0.2809796306451474,0.07593114304668218,0.06546347734555769,0.08217043835567557,3,0.12,25,0,0,0.12,0.0,0.0,False,0.01715202806097584
3,11,pure,0.05993024440180317,1.0,0.11762275619056607,-0.052860108861637056,9,0.36,23,0,2,0.391304347826087,0.0,0.08,True,0.0
3,12,pure,2.625407188721095,0.16185607356939966,0.12979864550447104,0.19311250546036332,0,0.0,23,0,2,0.0,0.0,0.08,False,1.811611123915708e-20
3,13,pure,-0.6293393435732257,0.002912080413344496,0.07498102786589848,0.0029205853928625514,22,0.88,25,0,0,0.88,0.0,0.0,True,0.25784110813792815
3,14,pure,-1.1711441742541762,0.14912196872253952,0.08923413856136084,0.1752565740810774,20,0.8,25,0,0,0.8,0.0,0.0,True,0.9996112465516078
3,15,pure,-1.7305836537683288,0.011871157145963478,0.04696919502782194,0.01201377455158148,19,0.76,25,0,0,0.76,0.0,0.0,True,0.9998051104078003
3,16,pure,1.289248466257716,0.2668767924430872,0.06848353483441207,0.36402720537580224,0,0.0,25,0,0,0.0,0.0,0.0,False,2.7865662251269728e-05
3,17,pure,0.2533439080872754,0.2883525766501834,0.05025086914520159,0.40519022087211454,4,0.16,25,0,0,0.16,0.0,0.0,False,0.3294225107202602
3,18,pure,1.3836501267511652,0.20769616985271566,0.016975880889556837,0.262142074731743,0,0.0,25,0,0,0.0,0.0,0.0,False,1.0991294200492507e-06
3,19,pure,0.33981464216581164,0.1269490622533563,0.10178935293304942,0.14540854005725434,4,0.16,25,0,0,0.16,0.0,0.0,False,0.03212189902141862
4,0,pure,-0.19120323304437575,0.33983980221973165,0.2056277370072197,0.5147838408956094,17,0.68,25,0,0,0.68,0.0,0.0,True,0.9126480056614639
4,1,pure,0.2839733571106892,0.13398641272287068,0.2503084412666769,0.15471629393730776,10,0.4,25,0,0,0.4,0.0,0.0,True,0.05395050671533694
4,2,pure,0.6082873743407289,0.024749511624488647,0.23191454204450263,0.025377594699505623,2,0.08,25,0,0,0.08,0.0,0.0,False,4.626393691882217e-05
4,3,pure,-0.1705659009515738,0.00028887124713402804,0.23687123248428954,0.00028895471784373683,13,0.52,25,0,0,0.52,0.0,0.0,True,0.00203723556046353
4,4,pure,2.3710073062198886,0.2874117574078682,0.213513427445856,0.4033349699433305,0,0.0,22,0,3,0.0,0.0,0.12,False,3.041552610293317e-14
4,5,pure,-0.13617038636590195,0.23230580794411523,0.3803420402974743,0.30260201307762974,20,0.8,25,0,0,0.8,0.0,0.0,True,0.6903983047442288
4,6,pure,0.24101815924157466,0.28366847433426545,0.19093058002726288,0.39600166148018334,8,0.32,25,0,0,0.32,0.0,0.0,True,0.33366686335934925
4,7,pure,-0.13408209591449918,0.3765108557586958,0.24815013095858604,0.6038771632774055,21,0.84,25,0,0,0.84,0.0,0.0,True,0.9173277439129639
4,8,pure,2.6162111965883925,0.17935440417941734,0.24954224024729887,0.2185528138977907,0,0.0,25,0,0,0.0,0.0,0.0,False,7.7847116710316e-20
4,9,pure,-0.8090012924673505,0.3303109607422282,0.24649627632023133,0.49323035226665457,17,0.68,25,0,0,0.68,0.0,0.0,True,0.9996083830206454
4,10,pure,-0.8545238530135958,0.26254685434191444,0.2888053706745818,0.356018353013633,21,0.84,24,0,1,0.875,0.0,0.04,True,0.9989926466267283
4,11,pure,-0.5763494210580793,0.24180976757413605,0.24141825208389373,0.31893020673776656,21,0.84,23,0,2,0.9130434782608695,0.0,0.08,True,0.9786536734469061
4,12,pure,0.05700817738982508,0.263436731384847,0.2487600844774094,0.35765662314406027,20,0.8,24,0,1,0.8333333333333334,0.0,0.04,True,0.5220539636660746
4,13,pure,1.0813021248100645,0.1854182414299001,0.3477759821774923,0.2276238566345746,1,0.04,24,0,1,0.041666666666666664,0.0,0.04,False,5.197389088003406e-05
4,14,pure,1.692790999527223,0.10876933951312914,0.217165916163826,0.12204398292772994,0,0.0,24,0,1,0.0,0.0,0.04,False,3.679018308184341e-11
4,15,pure,1.1851691938038287,0.2974869081323718,0.32164737107491514,0.42346101670718195,0,0.0,25,0,0,0.0,0.0,0.0,False,0.00024098378245439423
4,16,pure,0.47469615702135903,0.32416778016798975,0.17434446287786076,0.4796571851051541,3,0.12,25,0,0,0.12,0.0,0.0,False,0.16907249620789505
4,17,pure,-1.881876882888354,0.19990223240079472,0.25640404595858,0.2498472567929126,21,0.84,25,0,0,0.84,0.0,0.0,True,0.9999999994606024
4,18,pure,1.8275803587195045,0.359314348995189,0.26553324046249943,0.5608278387874974,0,0.0,25,0,0,0.0,0.0,0.0,False,7.420867672419978e-08
4,19,pure,0.619705149917975,0.2566507103906737,0.31906358455854716,0.345262602625959,3,0.12,25,0,0,0.12,0.0,0.0,False,0.03116877472661683
5,0,pure,-1.1799114697025477,0.6221833373737496,-0.7044440349060317,1.646786388532672,14,0.56,24,0,1,0.5833333333333334,0.0,0.04,True,0.9999999998676886
5,1,pure,-0.8933802678927532,0.6375091967138221,-0.7077410314875747,1.758690678313634,11,0.44,24,0,1,0.4583333333333333,0.0,0.04,True,0.9999999754823806
5,2,pure,0.2098541527067136,0.650800959225203,-0.6058232918594615,1.8636962970494326,1,0.04,25,0,0,0.04,0.0,0.0,False,0.9683662185319677
5,3,pure,-0.8524351655263853,0.5944381658992827,-0.7383195726206979,1.465715252070933,8,0.32,25,0,0,0.32,0.0,0.0,True,0.9999997924373211
5,4,pure,-0.933910601918291,0.5660776994738124,-0.633005081738263,1.3045600532338828,19,0.76,25,0,0,0.76,0.0,0.0,True,0.9999998806502522
5,5,pure,-0.9042918770859738,0.5508117075172191,-0.7017456563978118,1.226237897859579,12,0.48,25,0,0,0.48,0.0,0.0,True,0.9999996788723929
5,6,pure,0.8820513329827133,0.5593327382910115,-0.6470109451722454,1.269285891858216,0,0.0,24,0,1,0.0,0.0,0.04,False,0.1771058344099084
5,7,pure,-0.8494517577151022,0.5638495781998606,-0.7095445434152521,1.2927869606835731,11,0.44,25,0,0,0.44,0.0,0.0,True,0.9999994469046084
5,8,pure,-2.5819051423795405,0.5831081993127711,-0.5367693007675299,1.3987039283371403,19,0.76,24,0,1,0.7916666666666666,0.0,0.04,True,1.0
5,9,pure,-0.1014345049435218,0.5719012040659793,-0.7145988749959304,1.3359093963770965,1,0.04,24,0,1,0.041666666666666664,0.0,0.04,True,0.9923598987572256
5,10,pure,0.5781973932089678,0.591573935473759,-0.66870613528276,1.4484235626831576,0,0.0,24,0,1,0.0,0.0,0.04,False,0.6087966538248557
5,11,pure,-0.7256102994747048,0.5570441879149649,-0.7450677397336444,1.2575615280741097,11,0.44,25,0,0,0.44,0.0,0.0,True,0.9999950419369055
5,12,pure,1.4514223610538233,0.5598682112013076,-0.6818481310771776,1.272046749291677,0,0.0,24,0,1,0.0,0.0,0.04,False,0.0023921281648673506
5,13,pure,-0.4317295555686791,0.5092738145698408,-0.6687892288182662,1.037796289846288,3,0.12,25,0,0,0.12,0.0,0.0,True,0.9992109539297296
5,14,pure,0.9422246194983447,0.5827207521287243,-0.6380550184948718,1.3964767121812034,0,0.0,24,0,1,0.0,0.0,0.04,False,0.16121235098251296
5,15,pure,0.1242872294965518,0.5658759114984749,-0.6736549116930148,1.303488856035887,1,0.04,25,0,0,0.04,0.0,0.0,False,0.949273125267909
5,16,pure,-0.44030097486709785,0.6016853427164931,-0.6746818488284995,1.510577960700637,1,0.04,25,0,0,0.04,0.0,0.0,True,0.9999046392202364
5,17,pure,-2.1565592578007124,0.5558906583060839,-0.7080018243666671,1.2516977377368663,20,0.8,25,0,0,0.8,0.0,0.0,True,1.0
5,18,pure,-0.28480341817584853,0.5637392951292238,-0.622731621730586,1.2922073632467261,3,0.12,25,0,0,0.12,0.0,0.0,True,0.9986002292595737
5,19,pure,-0.08825241374554949,0.6388706995142099,-0.6983776210414677,1.7690912885074765,0,0.0,25,0,0,0.0,0.0,0.0,True,0.9972752307559547
6,0,pure,-0.8177830145050032,1.0,-0.09074896275035513,-0.29061932279790803,20,0.8,25,0,0,0.8,0.0,0.0,True,0.0
6,1,pure,1.098176341453277,0.09827735177395411,-0.0604067733245643,0.10898844779744038,0,0.0,25,0,0,0.0,0.0,0.0,False,1.8781824083079928e-06
6,2,pure,0.41695986893235504,0.21397436076638834,-0.03455589919595123,0.2722231312645437,2,0.08,24,0,1,0.08333333333333333,0.0,0.04,False,0.07087232033400596
6,3,pure,0.4136756479396345,1.0,-0.18588135842597145,-0.16697213241278744,3,0.12,25,0,0,0.12,0.0,0.0,False,0.0
6,4,pure,0.3905216345944635,0.16929125340188841,-0.06497015984528366,0.20379134575766034,5,0.2,25,0,0,0.2,0.0,0.0,False,0.0450942332194866
6,5,pure,-1.4426577640404354,0.06595058297289241,-0.004816162059856716,0.07060716678438698,21,0.84,24,0,1,0.875,0.0,0.04,True,0.9997858862962202
6,6,pure,-0.4060538047792103,0.03296180242750577,-0.04278781173281374,0.034085315875058586,15,0.6,25,0,0,0.6,0.0,0.0,True,0.3536229801085259
6,7,pure,-0.838509712974813,1.0,-0.049066409745058645,-0.03198534190473683,21,0.84,23,0,2,0.9130434782608695,0.0,0.08,True,0.0
6,8,pure,0.6110398586731064,0.2216573124803225,0.011967086295831805,0.28478113308505737,0,0.0,25,0,0,0.0,0.0,0.0,False,0.019482808251465183
6,9,pure,-0.09110304477292062,0.0245865104273633,-0.09547635770178642,0.025206244008513273,7,0.28,25,0,0,0.28,0.0,0.0,True,0.05688684367564421
