design,treatment,signal_mode,theta,theta_star,theta_relative,rep,join_fraction,join_fraction_valid,n_join,n_agents,n_valid,n_api_error,n_unparseable,api_error_rate,unparseable_rate,coup_success,theoretical_attack,benefit,cost,model
flip,pure,flip,0.275,0.5,-0.22499999999999998,8,0.52,0.52,13,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.275,0.5,-0.22499999999999998,5,0.6,0.6,15,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.275,0.5,-0.22499999999999998,11,0.56,0.5833333333333334,14,25,24,0,1,0.0,0.04,True,0.7733726476231317,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.275,0.5,-0.22499999999999998,10,0.52,0.52,13,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.275,0.5,-0.22499999999999998,0,0.52,0.5909090909090909,13,25,22,0,3,0.0,0.12,True,0.7733726476231317,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.275,0.5,-0.22499999999999998,12,0.64,0.64,16,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.275,0.5,-0.22499999999999998,3,0.52,0.52,13,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.275,0.5,-0.22499999999999998,17,0.52,0.5416666666666666,13,25,24,0,1,0.0,0.04,True,0.7733726476231317,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.275,0.5,-0.22499999999999998,16,0.52,0.5416666666666666,13,25,24,0,1,0.0,0.04,True,0.7733726476231317,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.275,0.5,-0.22499999999999998,21,0.48,0.48,12,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.2,0.5,-0.3,19,0.48,0.48,12,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.275,0.5,-0.22499999999999998,23,0.64,0.6666666666666666,16,25,24,0,1,0.0,0.04,True,0.7733726476231317,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.275,0.5,-0.22499999999999998,22,0.68,0.68,17,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.275,0.5,-0.22499999999999998,2,0.56,0.5833333333333334,14,25,24,0,1,0.0,0.04,True,0.7733726476231317,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.275,0.5,-0.22499999999999998,19,0.56,0.56,14,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.275,0.5,-0.22499999999999998,24,0.56,0.56,14,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.275,0.5,-0.22499999999999998,13,0.64,0.6666666666666666,16,25,24,0,1,0.0,0.04,True,0.7733726476231317,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.275,0.5,-0.22499999999999998,18,0.6,0.625,15,25,24,0,1,0.0,0.04,True,0.7733726476231317,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.35000000000000003,0.5,-0.14999999999999997,0,0.52,0.52,13,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.275,0.5,-0.22499999999999998,25,0.44,0.44,11,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.275,0.5,-0.22499999999999998,26,0.64,0.64,16,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.275,0.5,-0.22499999999999998,28,0.48,0.48,12,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.35000000000000003,0.5,-0.14999999999999997,3,0.6,0.6,15,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.35000000000000003,0.5,-0.14999999999999997,2,0.8,0.8,20,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.275,0.5,-0.22499999999999998,27,0.52,0.6190476190476191,13,25,21,0,4,0.0,0.16,True,0.7733726476231317,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.275,0.5,-0.22499999999999998,20,0.6,0.6,15,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.35000000000000003,0.5,-0.14999999999999997,4,0.64,0.64,16,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.35000000000000003,0.5,-0.14999999999999997,5,0.64,0.64,16,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.35000000000000003,0.5,-0.14999999999999997,7,0.6,0.625,15,25,24,0,1,0.0,0.04,True,0.691462461274013,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.275,0.5,-0.22499999999999998,29,0.68,0.7083333333333334,17,25,24,0,1,0.0,0.04,True,0.7733726476231317,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.35000000000000003,0.5,-0.14999999999999997,6,0.48,0.48,12,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.35000000000000003,0.5,-0.14999999999999997,12,0.64,0.64,16,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.35000000000000003,0.5,-0.14999999999999997,1,0.56,0.6086956521739131,14,25,23,0,2,0.0,0.08,True,0.691462461274013,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.35000000000000003,0.5,-0.14999999999999997,8,0.6,0.6,15,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.35000000000000003,0.5,-0.14999999999999997,9,0.48,0.48,12,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.35000000000000003,0.5,-0.14999999999999997,11,0.64,0.6956521739130435,16,25,23,0,2,0.0,0.08,True,0.691462461274013,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.35000000000000003,0.5,-0.14999999999999997,10,0.72,0.72,18,25,25,0,0,0.0,0.0,True,0.691462461274013,1.0,1.0,openai/gpt-oss-120b
