Design,Shift,Payoff,Payoff change,Message value,Hidden use
No Messages,Training world,0.39255449175834656,0.0,0.0,0.0
No Messages,Cleaner signals,0.4498394876718521,0.057284995913505554,0.0,0.0
No Messages,Noisier signals,0.31919099390506744,-0.07336349785327911,0.0,0.0
No Messages,Knife-edge regimes,0.4766654893755913,0.08411099761724472,0.0,0.0
No Messages,Harder regimes,0.2852569818496704,-0.10729750990867615,0.0,0.0
Public Only,Training world,0.534542977809906,0.0,0.26038799434900284,5.9197166057956e-09
Public Only,Cleaner signals,0.5548949837684631,0.02035200595855713,0.2760459929704666,3.851088059558805e-09
Public Only,Noisier signals,0.48978449404239655,-0.04475848376750946,0.24088699743151665,9.818654111981573e-09
Public Only,Knife-edge regimes,0.6250689774751663,0.09052599966526031,0.15724948048591614,1.0694880092643189e-08
Public Only,Harder regimes,0.42976149916648865,-0.10478147864341736,0.3091160040348768,5.7510528561621754e-09
Private Allowed,Training world,0.5441224873065948,0.0,0.2639850005507469,0.07850567623972893
Private Allowed,Cleaner signals,0.5552874654531479,0.01116497814655304,0.2811639755964279,0.05340357916429639
Private Allowed,Noisier signals,0.5000549927353859,-0.044067494571208954,0.25696899741888046,0.11786724627017975
Private Allowed,Knife-edge regimes,0.6279104948043823,0.08378800749778748,0.16121851652860641,0.11985793896019459
Private Allowed,Harder regimes,0.43548449128866196,-0.10863799601793289,0.3122484888881445,0.08344798069447279
Public Monitored,Training world,0.5404349863529205,0.0,0.2605069875717163,6.109545869215083e-09
Public Monitored,Cleaner signals,0.562346488237381,0.02191150188446045,0.2636904940009117,3.899777334392951e-09
Public Monitored,Noisier signals,0.4905574768781662,-0.049877509474754333,0.2583264745771885,9.897270558667515e-09
Public Monitored,Knife-edge regimes,0.635315015912056,0.09488002955913544,0.14708402007818222,1.0021719454300637e-08
Public Monitored,Harder regimes,0.42515046894550323,-0.1152845174074173,0.3090079724788666,6.4461144200222975e-09
Private Monitored,Training world,0.5355919748544693,0.0,0.2631489858031273,0.13504085503518581
Private Monitored,Cleaner signals,0.5570069849491119,0.02141501009464264,0.27518999576568604,0.10244953818619251
Private Monitored,Noisier signals,0.49559448659420013,-0.039997488260269165,0.2534489929676056,0.17866318300366402
Private Monitored,Knife-edge regimes,0.631646990776062,0.09605501592159271,0.15882549434900284,0.17034807056188583
Private Monitored,Harder regimes,0.4335634782910347,-0.1020284965634346,0.308800483122468,0.14685596153140068
Monitored + Penalty,Training world,0.5379564613103867,0.0,0.2664894685149193,0.017045656451955438
Monitored + Penalty,Cleaner signals,0.5519929677248001,0.014036506414413452,0.2765774801373482,0.010077296290546656
Monitored + Penalty,Noisier signals,0.48571597784757614,-0.052240483462810516,0.2650289833545685,0.04065302200615406
Monitored + Penalty,Knife-edge regimes,0.6212169677019119,0.08326050639152527,0.14614897221326828,0.028660410549491644
Monitored + Penalty,Harder regimes,0.4276434853672981,-0.11031297594308853,0.30819548666477203,0.017222360474988818
