arm,welfare_mean,welfare_sem,message_value_mean,message_value_sem,hidden_causal_influence_mean,hidden_causal_influence_sem,auditor_content_balanced_accuracy_mean,auditor_content_balanced_accuracy_sem,live_monitor_content_accuracy_mean,live_monitor_content_accuracy_sem,probe_strategic_opacity_gap_mean,probe_strategic_opacity_gap_sem,crossplay_welfare_gap
no_comm,0.39707548171281815,0.004500645718989585,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,,0.0,0.0,0.0,0.0027140105764071
visible_bottleneck,0.5370769798755646,0.0031708928773871133,0.2606389820575714,0.003464594561596948,5.925830715014513e-09,3.696624871789795e-10,0.9507392269305741,0.011059433556754142,,0.0,0.0058440904395571,0.0029356998862109665,0.4151983186602592
asymmetric_free,0.5354482233524323,0.002837686846477474,0.2684282287955284,0.004346227525016679,0.08069177158176893,0.018152668824879585,0.9437052429552596,0.013854213832470222,,0.0,0.011235591911024724,0.004171429022764033,0.4383266667524974
public_monitored,0.5365887433290482,0.0016091893368858153,0.25891099870204926,0.0030460102539104964,6.264797680621825e-09,2.5922631149696343e-10,0.8412567712937462,0.021823459098899555,0.7696699947118759,0.011291871759784786,0.027556989107218273,0.008013886463840766,0.3982716724276542
private_monitored,0.5309872627258301,0.0025664989322151895,0.266854777932167,0.0031003742186472456,0.1379924081265926,0.009616242093241295,0.8401879865098528,0.09680775857643882,0.5241049975156784,0.001408870049310659,0.038034910057035826,0.026104429815586333,0.4261273505787055
monitored_penalty,0.531349241733551,0.0033210297319853817,0.26753299683332443,0.002436855074801156,0.015871419804170676,0.0026035675210485353,0.8023630591620109,0.0231537388638558,0.6168899983167648,0.014102827075907945,0.05029341865270112,0.006393730370580764,0.3245963205893835
