Design,Payoff,Message value,Hidden use,Offline probe,Live monitor,Opacity gap,Cross-play loss
No Messages,0.39707548171281815,0.0,0.0,0.3333333333333333,,0.0,0.002714010576407133
Public Only,0.5370769798755646,0.2606389820575714,5.925830715014513e-09,0.9507392269305741,,0.00584409043955715,0.41519831866025925
Private Allowed,0.5354482233524323,0.2684282287955284,0.08069177158176899,0.9437052429552596,,0.011235591911024755,0.4383266667524974
Public Monitored,0.5365887433290482,0.25891099870204926,6.264797680621825e-09,0.8412567712937462,0.7696699947118759,0.02755698910721832,0.39827167242765427
Private Monitored,0.5309872627258301,0.26685477793216705,0.13799240812659264,0.8401879865098528,0.5241049975156784,0.03803491005703589,0.4261273505787055
Monitored + Penalty,0.531349241733551,0.26753299683332443,0.015871419804170728,0.8023630591620109,0.6168899983167648,0.05029341865270118,0.3245963205893835
