design,signal_mode,theta,theta_star,theta_relative,rep,join_fraction,join_fraction_valid,n_join,n_agents,n_valid,n_api_error,n_unparseable,api_error_rate,unparseable_rate,coup_success,theoretical_attack,benefit,cost,model,treatment
public_signal,normal,0.275,0.5,-0.2249999999999999,1,0.4,0.5263157894736842,10,25,19,6,0,0.24,0.0,True,0.7733726476231317,1.0,1.0,allenai/olmo-3-7b-instruct,
public_signal,normal,0.275,0.5,-0.2249999999999999,2,0.76,0.8260869565217391,19,25,23,2,0,0.08,0.0,True,0.7733726476231317,1.0,1.0,allenai/olmo-3-7b-instruct,
public_signal,normal,0.275,0.5,-0.2249999999999999,3,0.96,0.96,24,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,allenai/olmo-3-7b-instruct,
public_signal,normal,0.275,0.5,-0.2249999999999999,4,0.72,0.8181818181818182,18,25,22,3,0,0.12,0.0,True,0.7733726476231317,1.0,1.0,allenai/olmo-3-7b-instruct,
public_signal,normal,0.275,0.5,-0.2249999999999999,5,0.72,0.9473684210526316,18,25,19,6,0,0.24,0.0,True,0.7733726476231317,1.0,1.0,allenai/olmo-3-7b-instruct,
public_signal,normal,0.275,0.5,-0.2249999999999999,6,0.56,0.6666666666666666,14,25,21,4,0,0.16,0.0,True,0.7733726476231317,1.0,1.0,allenai/olmo-3-7b-instruct,
public_signal,normal,0.275,0.5,-0.2249999999999999,7,0.72,0.75,18,25,24,1,0,0.04,0.0,True,0.7733726476231317,1.0,1.0,allenai/olmo-3-7b-instruct,
public_signal,normal,0.275,0.5,-0.2249999999999999,8,0.72,0.8181818181818182,18,25,22,3,0,0.12,0.0,True,0.7733726476231317,1.0,1.0,allenai/olmo-3-7b-instruct,
public_signal,normal,0.275,0.5,-0.2249999999999999,9,0.52,0.5652173913043478,13,25,23,2,0,0.08,0.0,True,0.7733726476231317,1.0,1.0,allenai/olmo-3-7b-instruct,
public_signal,normal,0.275,0.5,-0.2249999999999999,10,0.64,0.7272727272727273,16,25,22,3,0,0.12,0.0,True,0.7733726476231317,1.0,1.0,allenai/olmo-3-7b-instruct,
public_signal,normal,0.275,0.5,-0.2249999999999999,11,0.72,0.9,18,25,20,5,0,0.2,0.0,True,0.7733726476231317,1.0,1.0,allenai/olmo-3-7b-instruct,
public_signal,normal,0.275,0.5,-0.2249999999999999,12,0.56,0.6086956521739131,14,25,23,2,0,0.08,0.0,True,0.7733726476231317,1.0,1.0,allenai/olmo-3-7b-instruct,
public_signal,normal,0.275,0.5,-0.2249999999999999,13,0.44,0.5789473684210527,11,25,19,6,0,0.24,0.0,True,0.7733726476231317,1.0,1.0,allenai/olmo-3-7b-instruct,
public_signal,normal,0.275,0.5,-0.2249999999999999,14,0.56,0.6666666666666666,14,25,21,4,0,0.16,0.0,True,0.7733726476231317,1.0,1.0,allenai/olmo-3-7b-instruct,
public_signal,normal,0.275,0.5,-0.2249999999999999,15,0.72,0.9,18,25,20,5,0,0.2,0.0,True,0.7733726476231317,1.0,1.0,allenai/olmo-3-7b-instruct,
public_signal,normal,0.275,0.5,-0.2249999999999999,16,0.52,0.65,13,25,20,5,0,0.2,0.0,True,0.7733726476231317,1.0,1.0,allenai/olmo-3-7b-instruct,
public_signal,normal,0.275,0.5,-0.2249999999999999,17,0.68,0.7083333333333334,17,25,24,1,0,0.04,0.0,True,0.7733726476231317,1.0,1.0,allenai/olmo-3-7b-instruct,
public_signal,normal,0.275,0.5,-0.2249999999999999,18,0.72,0.75,18,25,24,1,0,0.04,0.0,True,0.7733726476231317,1.0,1.0,allenai/olmo-3-7b-instruct,
public_signal,normal,0.275,0.5,-0.2249999999999999,19,0.56,0.7368421052631579,14,25,19,6,0,0.24,0.0,True,0.7733726476231317,1.0,1.0,allenai/olmo-3-7b-instruct,
public_signal,normal,0.275,0.5,-0.2249999999999999,20,0.64,0.8421052631578947,16,25,19,6,0,0.24,0.0,True,0.7733726476231317,1.0,1.0,allenai/olmo-3-7b-instruct,
public_signal,normal,0.275,0.5,-0.2249999999999999,21,0.52,0.6842105263157895,13,25,19,6,0,0.24,0.0,True,0.7733726476231317,1.0,1.0,allenai/olmo-3-7b-instruct,
