design,treatment,signal_mode,theta,theta_star,theta_relative,rep,join_fraction,join_fraction_valid,n_join,n_agents,n_valid,n_api_error,n_unparseable,api_error_rate,unparseable_rate,coup_success,theoretical_attack,benefit,cost,model
baseline,pure,normal,0.275,0.5,-0.22499999999999998,11,0.2,0.2,5,25,25,0,0,0.0,0.0,False,0.7733726476231317,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.2,0.5,-0.3,22,0.2,0.2,5,25,25,0,0,0.0,0.0,False,0.8413447460685429,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.2,0.5,-0.3,29,0.28,0.28,7,25,25,0,0,0.0,0.0,True,0.8413447460685429,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.275,0.5,-0.22499999999999998,16,0.24,0.24,6,25,25,0,0,0.0,0.0,False,0.7733726476231317,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.275,0.5,-0.22499999999999998,15,0.16,0.16,4,25,25,0,0,0.0,0.0,False,0.7733726476231317,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.275,0.5,-0.22499999999999998,19,0.16,0.16,4,25,25,0,0,0.0,0.0,False,0.7733726476231317,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.275,0.5,-0.22499999999999998,9,0.32,0.32,8,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.275,0.5,-0.22499999999999998,13,0.16,0.16,4,25,25,0,0,0.0,0.0,False,0.7733726476231317,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.275,0.5,-0.22499999999999998,18,0.16,0.16666666666666666,4,25,24,0,1,0.0,0.04,False,0.7733726476231317,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.275,0.5,-0.22499999999999998,22,0.32,0.32,8,25,25,0,0,0.0,0.0,True,0.7733726476231317,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.275,0.5,-0.22499999999999998,21,0.12,0.12,3,25,25,0,0,0.0,0.0,False,0.7733726476231317,1.0,1.0,openai/gpt-oss-120b
